Jahr;Monat;DatenTyp;Einheit;WA07019010 Kartoffeln, frisch oder gek�hlt;WA07019050 Fr�hkartoffeln, frisch oder gek�hlt, 1.1.030.6.;WA07019090 Kartoffeln and., frisch oder gek�hlt;Kartoffeln combined;WA07092000 Spargel, frisch oder gek�hlt;WA08051020 S��orangen, frisch                      (bis 2016);WA08051022 Navel0Orangen, frisch;WA08051024 Blondorangen, frisch;WA08051028 S��orangen, a.n.g., frisch;WA08051080 Andere Zitrusfr�chte, frisch oder getrocknet;Orangen combined;WA08055010 Zitronen, frisch oder getrocknet;WA08101000 Erdbeeren, frisch;WA07099390 K�rbisse, a.n.g., frisch oder gek�hlt;WA07020000 Tomaten, frisch oder gek�hlt;WA07031019 Speisezwiebeln, frisch oder gek�hlt;WA07061000 Karotten und Speisem�hren, Speiser�ben, frisch;WA07070005 Gurken, frisch oder gek�hlt;WA07070090 Cornichons, frisch oder gek�hlt;WA07081000 Erbsen (Pisum sativum), frisch oder gek�hlt;WA07095930 Steinpilze, frisch oder gek�hlt;WA07097000 Gartenspinat u.a., frisch oder gek�hlt;WA08081080 Andere �pfel, frisch;WA08083090 Birnen, a.n.g., frisch;WA08102010 Himbeeren, frisch
2006;Januar;Ausfuhr: Gewicht;t;68484,4;662;104690,1;173836,5;29,1;7627,3;0;0;0;0;7627,3;440,6;303,1;0;2259,1;5959,2;2735,1;1196,9;0;1658,4;0,4;11,3;6737,1;0;81,8
2006;Januar;Ausfuhr: Wert;Tsd. EUR;2468;82;11054;13604;107;4088;0;0;0;0;4088;353;1007;0;2358;1052;956;1222;0;545;6;17;2968;0;135
2006;Januar;Einfuhr: Gewicht;t;199,7;2362,1;15533,3;18095,1;242,2;67734,2;0;0;0;0;67734,2;8087,2;849;0;43560,4;13605;22579;32691,2;1,4;232,5;13,1;545,1;64349,6;0;468,9
2006;Januar;Einfuhr: Wert;Tsd. EUR;27;789;3232;4048;779;37729;0;0;0;0;37729;5376;2598;0;48478;5032;6898;30323;2;588;193;720;27765;0;508
2006;Februar;Ausfuhr: Gewicht;t;117433,9;2641;84371,7;204446,6;10,1;4753,4;0;0;0;0;4753,4;1058,4;329;0;5246;7175,4;3501,8;2774,4;0;508,9;0,5;36,6;8399,8;0;23,5
2006;Februar;Ausfuhr: Wert;Tsd. EUR;5007;351;10321;15679;57;2948;0;0;0;0;2948;670;832;0;4960;1261;1110;2133;0;215;7;53;4301;0;45
2006;Februar;Einfuhr: Gewicht;t;243,9;11885,4;16767,6;28896,9;299,9;91847;0;0;0;5,2;91852,2;11836,1;3790,7;0;59859,4;14349,3;25998,9;34340,1;4,4;243,3;5,6;618,1;46115,7;0;425
2006;Februar;Einfuhr: Wert;Tsd. EUR;23;3389;3050;6462;1164;49951;0;0;0;13;49964;7757;8351;0;65882;4907;10662;38364;5;578;95;845;27359;0;611
2006;M�rz;Ausfuhr: Gewicht;t;0;4399,5;87454,6;91854,1;125,6;3825,1;0;0;0;1,7;3826,8;520,7;749;0;3621,5;6188,6;2309,6;1208,6;0;407,4;5,4;42,3;13353,6;0;11,8
2006;M�rz;Ausfuhr: Wert;Tsd. EUR;0;1180;11729;12909;324;2281;0;0;0;1;2282;338;1501;0;3405;1236;889;1216;0;316;52;50;7134;0;26
2006;M�rz;Einfuhr: Gewicht;t;237,1;36553,1;38817,5;75607,7;1196,8;82096,2;0;0;0;0;82096,2;10512,7;9290,7;0;51906,7;15139,9;25513,7;37117,9;14,8;181,5;4,3;606,6;58425,9;0;184,1
