Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;1;1;1;1;1;1
2;2006;Februar;2;2;2;2;2;2;2
3;2006;März;3;3;3;3;3;3;3
4;2006;April;4;4;4;4;4;4;4
5;2006;Mai;5;5;5;5;5;5;5
6;2006;Juni;6;6;6;6;6;6;6
7;2006;Juli;7;7;7;7;7;7;7
8;2006;August;8;8;8;8;8;8;8
9;2006;September;9;9;9;9;9;9;9
10;2006;Oktober;10;10;10;10;10;10;10
11;2006;November;11;11;11;11;11;11;11
12;2006;Dezember;12;12;12;12;12;12;12
13;2007;Januar;1;13;1;1;1;1;1
14;2007;Februar;2;14;2;2;2;2;2
15;2007;März;3;15;3;3;3;3;3
16;2007;April;4;16;4;4;4;4;4
17;2007;Mai;5;17;5;5;5;5;5
18;2007;Juni;6;18;6;6;6;6;6
19;2007;Juli;7;19;7;7;7;7;7
20;2007;August;8;20;8;8;8;8;8
21;2007;September;9;21;9;9;9;9;9
22;2007;Oktober;10;22;10;10;10;10;10
23;2007;November;11;23;11;11;11;11;11
24;2007;Dezember;12;24;12;12;12;12;12
25;2008;Januar;1;25;1;1;1;1;1
26;2008;Februar;2;26;2;2;2;2;2
27;2008;März;3;27;3;3;3;3;3
28;2008;April;4;28;4;4;4;4;4
29;2008;Mai;5;29;5;5;5;5;5
30;2008;Juni;6;30;6;6;6;6;6
31;2008;Juli;7;31;7;7;7;7;7
32;2008;August;8;32;8;8;8;8;8
33;2008;September;9;33;9;9;9;9;9
34;2008;Oktober;10;34;10;10;10;10;10
35;2008;November;11;35;11;11;11;11;11
36;2008;Dezember;12;36;12;12;12;12;12
37;2009;Januar;1;37;1;1;1;1;1
38;2009;Februar;2;38;2;2;2;2;2
39;2009;März;3;39;3;3;3;3;3
40;2009;April;4;40;4;4;4;4;4
41;2009;Mai;5;41;5;5;5;5;5
42;2009;Juni;6;42;6;6;6;6;6
43;2009;Juli;7;43;7;7;7;7;7
44;2009;August;8;44;8;8;8;8;8
45;2009;September;9;45;9;9;9;9;9
46;2009;Oktober;10;46;10;10;10;10;10
47;2009;November;11;47;11;11;11;11;11
48;2009;Dezember;12;48;12;12;12;12;12
49;2010;Januar;1;49;1;1;1;1;1
50;2010;Februar;2;50;2;2;2;2;2
51;2010;März;3;51;3;3;3;3;3
52;2010;April;4;52;4;4;4;4;4
53;2010;Mai;5;53;5;5;5;5;5
54;2010;Juni;6;54;6;6;6;6;6
55;2010;Juli;7;55;7;7;7;7;7
56;2010;August;8;56;8;8;8;8;8
57;2010;September;9;57;9;9;9;9;9
58;2010;Oktober;10;58;10;10;10;10;10
59;2010;November;11;59;11;11;11;11;11
60;2010;Dezember;12;60;12;12;12;12;12
61;2011;Januar;1;61;1;1;1;1;1
62;2011;Februar;2;62;2;2;2;2;2
63;2011;März;3;63;3;3;3;3;3
64;2011;April;4;64;4;4;4;4;4
65;2011;Mai;5;65;5;5;5;5;5
66;2011;Juni;6;66;6;6;6;6;6
