Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;303,1;1007;3322,34;849;2598;3060,07
2;2006;Februar;2;329;832;2528,88;3790,7;8351;2203,02
3;2006;März;3;749;1501;2004,01;9290,7;15848;1705,79
4;2006;April;4;1232,8;1883;1527,42;22113,8;29836;1349,20
5;2006;Mai;5;1103,2;1960;1776,65;25198,5;45925;1822,53
6;2006;Juni;6;5577,6;8420;1509,61;15069,7;26210;1739,25
7;2006;Juli;7;3997,4;7032;1759,14;14579,6;18395;1261,69
8;2006;August;8;1161,2;2847;2451,77;2946,5;4666;1583,57
9;2006;September;9;2341,9;2981;1272,90;895,1;1713;1913,75
10;2006;Oktober;10;237,3;331;1394,86;1063,4;1893;1780,14
11;2006;November;11;38,3;87;2271,54;643;1418;2205,29
12;2006;Dezember;12;239,9;994;4143,39;909,5;2509;2758,66
13;2007;Januar;1;149,3;640;4286,67;974,1;3372;3461,66
14;2007;Februar;2;118,8;362;3047,14;3098;8619;2782,12
15;2007;März;3;731,9;1834;2505,81;9855,5;20008;2030,14
16;2007;April;4;887,5;1812;2041,69;22076,7;40393;1829,67
17;2007;Mai;5;2580,6;4181;1620,17;29313,2;45042;1536,58
18;2007;Juni;6;4591,7;9693;2110,98;12322,5;19934;1617,69
19;2007;Juli;7;2602,6;5837;2242,76;4241;8052;1898,61
20;2007;August;8;884,8;2176;2459,31;2166,9;3317;1530,76
21;2007;September;9;568,8;1328;2334,74;812,5;1743;2145,23
22;2007;Oktober;10;122,2;325;2659,57;818,6;2265;2766,92
23;2007;November;11;69,8;179;2564,47;748,9;2085;2784,08
24;2007;Dezember;12;188,8;567;3003,18;838,2;2724;3249,82
25;2008;Januar;1;156,5;556;3552,72;1073;3491;3253,49
26;2008;Februar;2;183,3;551;3006,00;4187,3;11563;2761,45
27;2008;März;3;929,6;2213;2380,59;9945,9;20526;2063,76
28;2008;April;4;946,1;2098;2217,52;25397,7;49206;1937,42
29;2008;Mai;5;1169,6;2508;2144,32;23498,2;48177;2050,24
30;2008;Juni;6;4402,2;9461;2149,15;16478,7;27224;1652,07
31;2008;Juli;7;1903,5;4326;2272,66;5110,3;9366;1832,77
32;2008;August;8;724,4;1818;2509,66;1208;2859;2366,72
33;2008;September;9;946,1;2286;2416,24;1543,2;3082;1997,15
34;2008;Oktober;10;119,3;401;3361,27;713,1;1844;2585,89
35;2008;November;11;67,7;245;3618,91;475,9;1780;3740,28
36;2008;Dezember;12;145,6;691;4745,88;1744;3753;2151,95
37;2009;Januar;1;241,2;978;4054,73;1252;4081;3259,58
38;2009;Februar;2;203,3;621;3054,60;3899,9;9670;2479,55
39;2009;März;3;603;1387;2300,17;12151;22276;1833,26
40;2009;April;4;1649,9;3240;1963,76;37053,1;64310;1735,62
41;2009;Mai;5;1900,8;4008;2108,59;32753,5;57506;1755,72
42;2009;Juni;6;4458,2;9825;2203,80;13537,8;18289;1350,96
43;2009;Juli;7;3502,6;7923;2262,03;4315,3;4876;1129,93
44;2009;August;8;684,1;1742;2546,41;1151,5;2923;2538,43
45;2009;September;9;300,6;853;2837,66;561,2;1522;2712,05
46;2009;Oktober;10;226,9;653;2877,92;900,5;2682;2978,35
47;2009;November;11;95,1;413;4342,80;683,3;2277;3332,36
48;2009;Dezember;12;260,8;1171;4490,03;988,9;3210;3246,03
49;2010;Januar;1;424,8;1285;3024,95;1503;3545;2358,62
50;2010;Februar;2;283,6;640;2256,70;3500,8;7890;2253,77
51;2010;März;3;733,5;1961;2673,48;11662,8;25324;2171,35
52;2010;April;4;1120,1;2235;1995,36;27679;46429;1677,41
53;2010;Mai;5;878,6;2162;2460,73;36576,2;72047;1969,78
54;2010;Juni;6;4636,4;10556;2276,77;14608,3;22576;1545,42
55;2010;Juli;7;2222,2;4277;1924,67;4152,9;6038;1453,92
56;2010;August;8;998;2240;2244,49;1104,3;2714;2457,67
57;2010;September;9;345,7;787;2276,54;553,2;1359;2456,62
58;2010;Oktober;10;145,5;388;2666,67;909,8;2285;2511,54
59;2010;November;11;77,6;228;2938,14;703;2427;3452,35
