Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;1196,9;1222;1020,97;32691,2;30323;927,56
2;2006;Februar;2;2774,4;2133;768,81;34340,1;38364;1117,18
3;2006;März;3;1208,6;1216;1006,12;37117,9;39221;1056,66
4;2006;April;4;2167,6;1569;723,84;42941;32881;765,73
5;2006;Mai;5;1346,1;1205;895,18;48022,5;30559;636,35
6;2006;Juni;6;914,9;677;739,97;46996,9;31601;672,41
7;2006;Juli;7;9563;3771;394,33;39589,6;27162;686,09
8;2006;August;8;7405;3738;504,79;43491,1;29758;684,23
9;2006;September;9;3865,7;1785;461,75;41904,3;28013;668,50
10;2006;Oktober;10;1055,1;822;779,07;37346,9;25551;684,15
11;2006;November;11;1050,8;951;905,02;32074,6;22998;717,02
12;2006;Dezember;12;1578,4;1633;1034,59;37071,9;31613;852,75
13;2007;Januar;1;1187,6;1296;1091,28;30176,8;28357;939,70
14;2007;Februar;2;1736,8;1728;994,93;30970,7;32890;1061,97
15;2007;März;3;1039,2;1228;1181,68;39839,6;44528;1117,68
16;2007;April;4;955,3;968;1013,29;45113,7;39960;885,76
17;2007;Mai;5;1066,6;1109;1039,75;46085,3;38596;837,49
18;2007;Juni;6;1902,3;1685;885,77;45706,1;35492;776,53
19;2007;Juli;7;2758,8;1068;387,12;49302,7;32165;652,40
20;2007;August;8;1798,2;1103;613,39;40449,8;25122;621,07
21;2007;September;9;3238,8;1707;527,05;36402,7;22393;615,15
22;2007;Oktober;10;4489,3;2243;499,63;38517,4;27043;702,10
23;2007;November;11;2596,2;1647;634,39;31010,9;24576;792,50
24;2007;Dezember;12;914,9;898;981,53;38152;31201;817,81
25;2008;Januar;1;1563,2;1511;966,61;37247,8;30942;830,71
26;2008;Februar;2;1400,8;1276;910,91;34042,4;32668;959,63
27;2008;März;3;1099,9;1077;979,18;40766,1;36828;903,40
28;2008;April;4;1739,4;1502;863,52;47178,6;34701;735,52
29;2008;Mai;5;1347,8;1010;749,37;47921,9;34382;717,46
30;2008;Juni;6;4278,8;2326;543,61;48005,4;34190;712,21
31;2008;Juli;7;6618,1;2583;390,29;43927,3;26882;611,97
32;2008;August;8;3295,7;1747;530,08;34319,4;20632;601,18
33;2008;September;9;4967,2;2133;429,42;31994,1;24799;775,11
34;2008;Oktober;10;11074,9;4873;440,00;34622,1;25439;734,76
35;2008;November;11;4336,6;2330;537,29;36787,6;28542;775,86
36;2008;Dezember;12;2164,3;1693;782,24;40441,9;32495;803,50
37;2009;Januar;1;1370,8;2004;1461,92;32669,4;39002;1193,84
38;2009;Februar;2;1901,3;1866;981,43;35191,1;43438;1234,35
39;2009;März;3;1404;1456;1037,04;41361,9;44188;1068,33
40;2009;April;4;1503,5;1233;820,09;48889,7;37271;762,35
41;2009;Mai;5;919,9;641;696,81;49445,5;30655;619,98
42;2009;Juni;6;3288,8;1670;507,78;44388,8;26062;587,13
43;2009;Juli;7;11477,6;4901;427,01;44894,3;26307;585,98
44;2009;August;8;12832,3;4343;338,44;40626,1;28440;700,04
45;2009;September;9;5553,9;2284;411,24;36400,8;25315;695,45
46;2009;Oktober;10;1783,5;1057;592,65;41317;19816;479,61
47;2009;November;11;1172;788;672,35;34403,4;18672;542,74
48;2009;Dezember;12;2288,9;2155;941,50;38464,6;30029;780,69
49;2010;Januar;1;1793,5;2236;1246,72;36042,7;35199;976,59
50;2010;Februar;2;1644;2099;1276,76;35135,1;42867;1220,06
51;2010;März;3;1493,1;1693;1133,88;40475,2;45927;1134,69
52;2010;April;4;1120,1;1061;947,24;49975,1;40963;819,67
53;2010;Mai;5;801,6;765;954,34;51796,5;42493;820,38
54;2010;Juni;6;1520,3;746;490,69;52907,8;38734;732,10
55;2010;Juli;7;10347,7;4495;434,40;52425,5;41956;800,30
56;2010;August;8;5871,5;2200;374,69;46381,4;36518;787,34
57;2010;September;9;1620,1;713;440,10;44569,8;32079;719,75
58;2010;Oktober;10;3936,7;1521;386,36;35724,7;22899;640,99
59;2010;November;11;1119,6;1054;941,41;41872,7;35436;846,28
60;2010;Dezember;12;1774,5;1543;869,54;35247,3;30079;853,37
61;2011;Januar;1;1472;1132;769,02;41110;32897;800,22
62;2011;Februar;2;1443,9;1277;884,41;44324,5;38441;867,26
63;2011;März;3;1862,5;1433;769,40;40405,5;33004;816,82
64;2011;April;4;1349,1;887;657,48;50527,2;36058;713,64
65;2011;Mai;5;1178,3;760;645,00;47352,3;33329;703,85
66;2011;Juni;6;1151,9;476;413,23;38588,7;25542;661,90
67;2011;Juli;7;7178,4;2648;368,88;37500,6;22232;592,84
68;2011;August;8;7903,9;2717;343,75;45968,9;27258;592,97
69;2011;September;9;2566,5;987;384,57;44751,9;26575;593,83
70;2011;Oktober;10;857,5;510;594,75;34137,9;22728;665,77
71;2011;November;11;804,8;690;857,36;32527,5;25366;779,83
72;2011;Dezember;12;1355,5;1033;762,08;32763,3;26687;814,54
73;2012;Januar;1;1170,5;992;847,50;39039,2;29431;753,88
74;2012;Februar;2;1224,1;1478;1207,42;33439,6;34888;1043,31
75;2012;März;3;1132,5;1366;1206,18;41975,1;45841;1092,10
76;2012;April;4;863,6;724;838,35;45628,6;38729;848,79
77;2012;Mai;5;761,4;598;785,40;49737,8;38382;771,69
78;2012;Juni;6;1251,6;756;604,03;40426,4;31535;780,06
79;2012;Juli;7;11597;3919;337,93;43309,3;30807;711,33
80;2012;August;8;2379,7;1118;469,81;39073,1;25346;648,68
81;2012;September;9;4386;1399;318,97;34110;23937;701,76
82;2012;Oktober;10;1541,2;1246;808,46;37095,6;25620;690,65
83;2012;November;11;1015,5;850;837,03;34357,1;27338;795,70
84;2012;Dezember;12;1252,5;1515;1209,58;35347,8;36346;1028,24
85;2013;Januar;1;1696,8;1739;1024,87;33544,6;36408;1085,36
86;2013;Februar;2;1426,4;1779;1247,20;37566,9;43289;1152,32
87;2013;März;3;1522;1806;1186,60;42570;47871;1124,52
88;2013;April;4;1208,4;1043;863,12;43173,7;35790;828,98
89;2013;Mai;5;916,1;698;761,93;44824,5;37495;836,48
90;2013;Juni;6;1633,4;1145;700,99;44908;36997;823,84
91;2013;Juli;7;5850,3;2384;407,50;43671,4;35371;809,94
92;2013;August;8;11544,3;4084;353,77;43800,5;34689;791,98
93;2013;September;9;6224;2228;357,97;30723;23757;773,26
94;2013;Oktober;10;2454;1233;502,44;46825,4;29836;637,18
95;2013;November;11;1034,8;812;784,69;32458,8;20583;634,13
96;2013;Dezember;12;1436;1648;1147,63;43358,4;39373;908,08
97;2014;Januar;1;1272,2;1590;1249,80;37461,5;40972;1093,71
98;2014;Februar;2;1064,1;1412;1326,94;38896,5;41977;1079,20
