Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;7627,3;4088;535,97;67734,2;37729;557,02
2;2006;Februar;2;4753,4;2948;620,19;91852,2;49964;543,96
3;2006;März;3;3826,8;2282;596,32;82096,2;44498;542,02
4;2006;April;4;2809,9;1680;597,89;60414,9;30660;507,49
5;2006;Mai;5;1672,3;1025;612,93;45757;23245;508,01
6;2006;Juni;6;1165,6;699;599,69;25052,2;12077;482,07
7;2006;Juli;7;1909,9;1136;594,80;24664,4;12430;503,97
8;2006;August;8;2601,9;1576;605,71;21959,7;11043;502,88
9;2006;September;9;3666,1;2298;626,82;23010,7;12352;536,79
10;2006;Oktober;10;2855,5;2250;787,95;14898,5;9746;654,16
11;2006;November;11;1926,2;1265;656,73;25529,9;15129;592,60
12;2006;Dezember;12;3343,3;1942;580,86;79753,8;38807;486,58
13;2007;Januar;1;3479,8;2369;680,79;69977,5;34751;496,60
14;2007;Februar;2;2705,3;1587;586,63;68537,2;34515;503,60
15;2007;März;3;2548,3;1480;580,78;86154,1;42736;496,04
16;2007;April;4;2664,1;1588;596,07;65851;30998;470,73
17;2007;Mai;5;3433,1;1970;573,83;28004,5;15023;536,45
18;2007;Juni;6;733,3;570;777,31;59035,9;27154;459,96
19;2007;Juli;7;1414,3;1097;775,65;21438,8;11864;553,39
20;2007;August;8;2647,6;2070;781,84;22889,7;12520;546,97
21;2007;September;9;2962,2;2405;811,90;16077,5;9050;562,90
22;2007;Oktober;10;3323,4;2235;672,50;16477,5;10312;625,82
23;2007;November;11;1810,3;1248;689,39;25365,1;15564;613,60
24;2007;Dezember;12;2515,6;1324;526,32;67849,9;36658;540,28
25;2008;Januar;1;4282;2995;699,44;84647,5;43570;514,72
26;2008;Februar;2;3733,6;2563;686,47;77575;44088;568,33
27;2008;März;3;2392,5;1810;756,53;56959,5;35530;623,78
28;2008;April;4;3080,1;2305;748,35;75611;43555;576,04
29;2008;Mai;5;2046,3;1493;729,61;34746;22718;653,83
30;2008;Juni;6;1335,3;1145;857,49;51258,5;26716;521,20
31;2008;Juli;7;2803,2;2086;744,15;14622,6;10806;738,99
32;2008;August;8;1983,1;1640;826,99;18054,4;11198;620,24
33;2008;September;9;2999,8;2072;690,71;20583;11787;572,66
34;2008;Oktober;10;4521,6;3021;668,13;25784,7;13318;516,51
35;2008;November;11;3440,9;2196;638,21;38027,1;20792;546,77
36;2008;Dezember;12;3988,8;2463;617,48;62251,2;33706;541,45
37;2009;Januar;1;3930;2169;551,91;89149,7;48003;538,45
38;2009;Februar;2;3817,6;2505;656,17;72272,7;40060;554,29
39;2009;März;3;4207,8;2633;625,74;77020,2;40750;529,08
40;2009;April;4;3624,4;2565;707,70;48197,1;27516;570,91
41;2009;Mai;5;1836,1;1253;682,42;38449,3;20475;532,52
42;2009;Juni;6;1737,4;1141;656,73;21678,6;11891;548,51
43;2009;Juli;7;1006,5;656;651,76;12175;7135;586,04
44;2009;August;8;1503,9;1077;716,14;14795,4;8496;574,23
45;2009;September;9;2700,8;1913;708,31;16049,2;9432;587,69
46;2009;Oktober;10;2917,1;2324;796,68;41590,9;27890;670,58
47;2009;November;11;3012,4;2034;675,21;36959,7;25178;681,23
48;2009;Dezember;12;4596,9;2936;638,69;76018,5;46589;612,86
49;2010;Januar;1;3637,7;2421;665,53;87755,1;51155;582,93
50;2010;Februar;2;3432,3;2394;697,49;83155;48713;585,81
51;2010;März;3;3990,6;2777;695,89;84076,2;45930;546,29
52;2010;April;4;3077,5;2287;743,14;42586,7;25350;595,26
53;2010;Mai;5;2290;1790;781,66;50652,6;28833;569,23
54;2010;Juni;6;1228,9;1047;851,98;19735,9;13318;674,81
55;2010;Juli;7;1694,3;1694;999,82;14166,4;9797;691,57
56;2010;August;8;1861,4;1721;924,57;14408,8;9743;676,18
57;2010;September;9;3137,1;2679;853,97;16109;10391;645,04
58;2010;Oktober;10;3236,8;2512;776,08;15309,8;9834;642,33
59;2010;November;11;4818,7;3428;711,40;42549,8;26465;621,98
60;2010;Dezember;12;4920;3077;625,41;63549,4;37000;582,22
61;2011;Januar;1;3590,5;2151;599,08;82322,6;47411;575,92
62;2011;Februar;2;3660,3;2380;650,22;74118,9;43048;580,80
63;2011;März;3;4690,4;2998;639,18;62028,6;35833;577,69
64;2011;April;4;2448,7;1636;668,11;44795,8;27196;607,11
65;2011;Mai;5;3703,8;2320;626,38;26157;15534;593,88
66;2011;Juni;6;1696,5;1133;667,85;28734,9;15550;541,15
67;2011;Juli;7;976,6;752;770,02;13577,1;8509;626,72
68;2011;August;8;3028,6;2389;788,81;14632,9;8855;605,14
69;2011;September;9;3255,3;2571;789,79;10819,9;8129;751,30
70;2011;Oktober;10;2752,6;2311;839,57;22178,9;15220;686,24
71;2011;November;11;3330,5;2427;728,72;42012,7;26905;640,40
72;2011;Dezember;12;3327;2161;649,53;66819,5;40051;599,39
73;2012;Januar;1;4862,4;3054;628,08;86815,3;50551;582,28
74;2012;Februar;2;3721,5;2380;639,53;76225,8;43116;565,64
75;2012;März;3;4234;2598;613,60;68523,6;38927;568,08
76;2012;April;4;2988,7;1804;603,61;43093,4;24518;568,95
77;2012;Mai;5;2620,5;1676;639,57;29667,1;18344;618,33
78;2012;Juni;6;1588,1;1066;671,24;27820,1;16046;576,78
79;2012;Juli;7;1340,3;1180;880,40;14775,4;9705;656,84
80;2012;August;8;2104;1855;881,65;15398,6;10512;682,66
81;2012;September;9;2143,7;1998;932,03;14069,9;9685;688,35
82;2012;Oktober;10;2926;2806;958,99;13920,1;11788;846,83
83;2012;November;11;3498,3;2559;731,50;44817,8;28827;643,20
84;2012;Dezember;12;3723,2;2730;733,24;78547,5;50494;642,85
85;2013;Januar;1;4913,5;3585;729,62;82450;50394;611,21
86;2013;Februar;2;4613,2;3295;714,25;101416,1;58839;580,17
87;2013;März;3;5989,8;4189;699,36;84087;51981;618,18
88;2013;April;4;4076;2783;682,78;52454,7;34162;651,27
89;2013;Mai;5;3427,5;2407;702,26;42099,7;26463;628,58
90;2013;Juni;6;1516;1086;716,36;29184,6;17996;616,63
91;2013;Juli;7;2201,9;1870;849,27;16704,6;11879;711,12
92;2013;August;8;2687;2165;805,73;9376,3;7997;852,90
93;2013;September;9;4457,9;3668;822,81;18162,6;12452;685,58
94;2013;Oktober;10;2153,6;2065;958,86;22967,3;16109;701,39
95;2013;November;11;4012;2670;665,50;28112,3;18997;675,75
96;2013;Dezember;12;3890,7;2365;607,86;87561,2;55635;635,38
97;2014;Januar;1;3695,4;2376;642,96;67828,2;40065;590,68
98;2014;Februar;2;3094,1;2072;669,66;62736,8;38070;606,82
99;2014;März;3;2002,3;1346;672,23;49479,8;29715;600,55
100;2014;April;4;2973,5;1879;631,92;38336,1;23048;601,21
101;2014;Mai;5;1885;1241;658,36;28867,2;17103;592,47
102;2014;Juni;6;1251,6;867;692,71;17034,5;10675;626,67
103;2014;Juli;7;1408;1130;802,56;13252,6;8884;670,36
104;2014;August;8;1594,5;1212;760,11;9037,3;7179;794,37
105;2014;September;9;3295,2;2191;664,91;11719,9;9863;841,56
106;2014;Oktober;10;5018,4;3177;633,07;16285,1;12848;788,94
107;2014;November;11;2315,9;1289;556,59;34040;21728;638,31
108;2014;Dezember;12;1961,6;1357;691,78;71100,3;44452;625,20
109;2015;Januar;1;4984,4;2939;589,64;78770,3;47832;607,23
110;2015;Februar;2;3202,6;2101;656,03;64611,3;40478;626,48
111;2015;März;3;2320,8;1630;702,34;71592,3;45038;629,09
112;2015;April;4;3056,9;2059;673,56;49155,4;31489;640,60
113;2015;Mai;5;2963,7;2181;735,90;30968;20515;662,46
114;2015;Juni;6;1652,9;1381;835,50;18567,2;13761;741,15
115;2015;Juli;7;1808,5;1766;976,50;12564,3;11279;897,70
116;2015;August;8;2572,7;2155;837,64;12782,8;12316;963,48
117;2015;September;9;4772,7;2769;580,17;12996,1;11930;917,97
118;2015;Oktober;10;3287,2;2570;781,82;14827,8;13929;939,38
119;2015;November;11;2748,9;2034;739,93;42657,3;31681;742,69
120;2015;Dezember;12;2579;1672;648,31;77317,6;53339;689,87
121;2016;Januar;1;3715,2;2572;692,29;80778,9;53630;663,91
122;2016;Februar;2;3790,8;2548;672,15;68756,2;47129;685,45
123;2016;März;3;4150,1;2990;720,46;70850,2;50226;708,90
124;2016;April;4;2830,2;2373;838,46;45131,3;32388;717,64
125;2016;Mai;5;2210,7;1574;711,99;34457,4;26315;763,70
126;2016;Juni;6;1504,7;1390;923,77;16817,8;13843;823,12
127;2016;Juli;7;1905,8;1827;958,65;12391,8;11369;917,46
128;2016;August;8;2433,3;2291;941,52;11515,7;10584;919,09
129;2016;September;9;1930,3;2043;1058,38;12074,5;11668;966,33
130;2016;Oktober;10;2113,9;2200;1040,73;15420,9;15085;978,22
131;2016;November;11;2079,8;1812;871,24;38869,2;30314;779,90
132;2016;Dezember;12;2967,6;2406;810,76;82667,8;57065;690,29
133;2017;Januar;1;3033,4;2271;748,66;73526,7;49675;675,60
134;2017;Februar;2;2431;1982;815,30;68621;48288;703,69
135;2017;März;3;2469,3;1872;758,11;58347,4;41194;706,01
136;2017;April;4;2377,1;1935;814,02;41100,9;31329;762,25
137;2017;Mai;5;2081,5;1727;829,69;28863,1;23081;799,67
138;2017;Juni;6;1495,6;1175;785,64;18014,8;14901;827,15
139;2017;Juli;7;1305,3;1397;1070,25;12513,3;11646;930,69
140;2017;August;8;3285,5;2452;746,31;12223;11335;927,35
141;2017;September;9;1749,1;1987;1136,01;14274,7;14441;1011,65
142;2017;Oktober;10;2644,5;2625;992,63;18571,4;18432;992,49
143;2017;November;11;2291,8;1567;683,74;40939,4;32549;795,05
144;2017;Dezember;12;2643,1;1713;648,10;75232,3;56899;756,31
145;2018;Januar;1;4115,9;2635;640,20;78443,5;55927;712,96
146;2018;Februar;2;2710,1;2187;806,98;70226,6;52668;749,97
147;2018;März;3;3214,7;2656;826,20;67290,8;51398;763,82
148;2018;April;4;3093,7;2544;822,32;42002,2;32242;767,63
149;2018;Mai;5;1786,6;1652;924,66;32558,6;25007;768,06
150;2018;Juni;6;1676,8;1533;914,24;17319,9;14482;836,15
151;2018;Juli;7;1760,6;1889;1072,93;15502,2;13207;851,94
152;2018;August;8;1657,5;1953;1178,28;14504,1;13026;898,09
153;2018;September;9;2551,9;2684;1051,77;12627,1;12418;983,44
154;2018;Oktober;10;2751,8;2994;1088,02;14928,3;14631;980,08
155;2018;November;11;2048,6;1556;759,54;37750,6;29674;786,05
156;2018;Dezember;12;1955,6;1381;706,18;69498,7;50471;726,22
157;2019;Januar;1;3553,7;2472;695,61;73200,3;50856;694,75
158;2019;Februar;2;3133;2283;728,69;64545,7;44981;696,89
159;2019;März;3;2471,9;2046;827,70;54540,2;36199;663,71
160;2019;April;4;2212,9;1795;811,15;45717,7;30940;676,76
161;2019;Mai;5;982,7;1065;1083,75;29058,4;20467;704,34
162;2019;Juni;6;1222,4;1126;921,14;26132,9;17520;670,42
163;2019;Juli;7;1021;1052;1030,36;17207,3;13561;788,10
164;2019;August;8;1726,3;2452;1420,38;13977,3;13077;935,59
165;2019;September;9;1695,1;1919;1132,09;16533,6;16142;976,31
166;2019;Oktober;10;1845,8;2088;1131,22;15242,1;15451;1013,71
167;2019;November;11;1182,4;1012;855,89;41202,2;34710;842,43
168;2019;Dezember;12;1481,2;1216;820,96;66473,9;51192;770,11
169;2020;Januar;1;2476,1;1987;802,47;77764,8;59193;761,18
170;2020;Februar;2;2443;2052;839,95;67027;53719;801,45
171;2020;März;3;2940,3;2509;853,31;72570,1;58177;801,67
172;2020;April;4;2330,5;2219;952,16;57230,4;53824;940,48
173;2020;Mai;5;861,7;1090;1264,94;31091,7;32218;1036,23
174;2020;Juni;6;1031;1106;1072,74;18808,2;22143;1177,31
175;2020;Juli;7;1297,4;1568;1208,57;13480,7;15914;1180,50
176;2020;August;8;1494,2;1919;1284,30;10544,3;12376;1173,71
177;2020;September;9;1368,7;2004;1464,16;14813,4;18573;1253,80
178;2020;Oktober;10;1275,4;1885;1477,97;17342,9;20029;1154,88
