Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;29,1;107;3676,98;242,2;779;3216,35
2;2006;Februar;2;10,1;57;5643,56;299,9;1164;3881,29
3;2006;März;3;125,6;324;2579,62;1196,8;4960;4144,39
4;2006;April;4;479;1465;3058,46;7823;31217;3990,41
5;2006;Mai;5;763;2150;2817,82;10592;30673;2895,86
6;2006;Juni;6;409,4;1583;3866,63;3699;10712;2895,92
7;2006;Juli;7;153,3;584;3809,52;2056,4;5274;2564,68
8;2006;August;8;54,9;165;3005,46;1395,2;3571;2559,49
9;2006;September;9;23,7;111;4683,54;357,4;1163;3254,06
10;2006;Oktober;10;32,7;140;4281,35;199,1;779;3912,61
11;2006;November;11;27,8;145;5215,83;454;1760;3876,65
12;2006;Dezember;12;40,5;179;4419,75;476;1863;3913,87
13;2007;Januar;1;6,7;33;4925,37;172,2;707;4105,69
14;2007;Februar;2;12,7;61;4803,15;378,4;1494;3948,20
15;2007;März;3;549,5;1416;2576,89;2715,5;10305;3794,88
16;2007;April;4;694,7;1967;2831,44;7349,2;24367;3315,60
17;2007;Mai;5;1019,4;3011;2953,70;7050,3;18034;2557,91
18;2007;Juni;6;273,1;960;3515,20;4567,7;10853;2376,03
19;2007;Juli;7;84,2;333;3954,87;1855,2;5313;2863,84
20;2007;August;8;126,8;454;3580,44;1047,6;2923;2790,19
21;2007;September;9;84,4;324;3838,86;475,9;1646;3458,71
22;2007;Oktober;10;40,3;161;3995,04;565,9;1999;3532,43
23;2007;November;11;38,3;122;3185,38;541,9;1868;3447,13
24;2007;Dezember;12;85,5;338;3953,22;731,6;2674;3655,00
25;2008;Januar;1;48,2;213;4419,09;298,6;1136;3804,42
26;2008;Februar;2;16,8;84;5000,00;454,9;1792;3939,33
27;2008;März;3;511;1277;2499,02;4455,8;17080;3833,21
28;2008;April;4;677,2;1819;2686,06;9616,8;30475;3168,93
29;2008;Mai;5;1126;3580;3179,40;7988,5;20542;2571,45
30;2008;Juni;6;501,4;1521;3033,51;3242;7443;2295,81
31;2008;Juli;7;294,1;915;3111,19;2086,6;5682;2723,09
32;2008;August;8;120,5;364;3020,75;714,6;1936;2709,21
33;2008;September;9;42,4;134;3160,38;407,5;1073;2633,13
34;2008;Oktober;10;56,6;178;3144,88;253,5;794;3132,15
35;2008;November;11;57,4;185;3223,00;310,8;853;2744,53
36;2008;Dezember;12;104;400;3846,15;413,1;1324;3205,04
37;2009;Januar;1;20,3;110;5418,72;374,8;1372;3660,62
38;2009;Februar;2;34,9;155;4441,26;286,3;1031;3601,12
39;2009;März;3;94,6;331;3498,94;1690,8;6267;3706,53
40;2009;April;4;975,3;2810;2881,16;8970,6;27991;3120,30
41;2009;Mai;5;1136,2;3377;2972,19;8189,3;18338;2239,26
42;2009;Juni;6;268;977;3645,52;2888,6;7463;2583,60
43;2009;Juli;7;89,2;302;3385,65;900,4;2628;2918,70
44;2009;August;8;22,9;118;5152,84;219,6;628;2859,74
45;2009;September;9;20,3;103;5073,89;256,3;729;2844,32
46;2009;Oktober;10;29,3;104;3549,49;367,8;1016;2762,37
