Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;440,6;353;801,18;8087,2;5376;664,75
2;2006;Februar;2;1058,4;670;633,03;11836,1;7757;655,37
3;2006;März;3;520,7;338;649,13;10512,7;6049;575,40
4;2006;April;4;1003,9;494;492,08;9745,2;5696;584,49
5;2006;Mai;5;866,7;507;584,98;12117,1;7285;601,22
6;2006;Juni;6;741,5;488;658,13;10343,5;6444;623,00
7;2006;Juli;7;673,7;408;605,61;11420,6;7306;639,72
8;2006;August;8;730,9;653;893,42;12761,1;8615;675,10
9;2006;September;9;756;512;677,25;14017,6;8007;571,21
10;2006;Oktober;10;1691;1235;730,34;10287,3;7336;713,11
11;2006;November;11;1086,9;720;662,43;10626;7532;708,83
12;2006;Dezember;12;1332,6;759;569,56;13075,6;9009;688,99
13;2007;Januar;1;477;316;662,47;11426,8;7708;674,55
14;2007;Februar;2;254,4;175;687,89;8313;5222;628,17
15;2007;März;3;492,3;339;688,60;10300,2;6581;638,92
16;2007;April;4;1775;881;496,34;12346,5;7904;640,18
17;2007;Mai;5;886,6;529;596,66;12145,9;8092;666,23
18;2007;Juni;6;884,5;596;673,83;13648,6;9011;660,21
19;2007;Juli;7;1063,3;693;651,74;12954,1;9022;696,46
20;2007;August;8;1139,4;829;727,58;11833,6;8979;758,77
21;2007;September;9;608,9;565;927,90;9931,3;8018;807,35
22;2007;Oktober;10;1238,8;897;724,09;10101,3;9200;910,77
23;2007;November;11;569,9;611;1072,12;8747,8;8603;983,45
24;2007;Dezember;12;599,7;612;1020,51;11826,2;12917;1092,24
25;2008;Januar;1;1661,5;1693;1018,96;12878,7;14270;1108,03
26;2008;Februar;2;1789,5;1721;961,72;12036,8;13410;1114,08
27;2008;März;3;1219,3;1592;1305,67;10983,9;13244;1205,76
28;2008;April;4;635,1;722;1136,83;9821,5;12709;1294,00
29;2008;Mai;5;1072;1573;1467,35;11727,2;14915;1271,83
30;2008;Juni;6;599,1;903;1507,26;11932,4;14932;1251,38
31;2008;Juli;7;1400,8;1354;966,59;12518,6;14793;1181,68
32;2008;August;8;1104,1;1034;936,51;8366,5;9501;1135,60
33;2008;September;9;1217,4;1007;827,17;9520,3;9024;947,87
34;2008;Oktober;10;1064,8;1191;1118,52;8611,7;8269;960,21
35;2008;November;11;837,5;861;1028,06;9605,6;9943;1035,13
36;2008;Dezember;12;1148,8;887;772,11;11064,6;10235;925,02
37;2009;Januar;1;899,6;689;765,90;15693,1;12880;820,74
38;2009;Februar;2;999;747;747,75;9860,5;8018;813,14
39;2009;März;3;1089,9;712;653,27;9651,1;6928;717,85
40;2009;April;4;903;619;685,49;12324,4;8690;705,11
41;2009;Mai;5;885;579;654,24;10497,5;7270;692,55
42;2009;Juni;6;940,2;680;723,25;10218;7323;716,68
43;2009;Juli;7;1120,2;905;807,89;10871,4;7698;708,10
44;2009;August;8;1023,1;1010;987,20;11337,9;9820;866,12
45;2009;September;9;1547,7;1712;1106,16;8068,6;8553;1060,04
46;2009;Oktober;10;1191,7;1349;1132,00;7479,5;7932;1060,50
47;2009;November;11;894;855;956,38;10066,7;10287;1021,88
48;2009;Dezember;12;1863,3;1566;840,44;12449,4;11529;926,07
49;2010;Januar;1;1417,4;1262;890,36;10593,7;10134;956,61
50;2010;Februar;2;1505,4;1319;876,18;9458,2;8292;876,70
51;2010;März;3;1418,8;1183;833,80;9960,2;8518;855,20
52;2010;April;4;1028,5;847;823,53;9416,7;8121;862,40
53;2010;Mai;5;1201,3;1104;919,00;11653,4;10820;928,48
54;2010;Juni;6;1224,5;1292;1055,12;13879,2;14122;1017,49
55;2010;Juli;7;1382,2;1704;1232,82;11854,6;12255;1033,78
56;2010;August;8;1179;1481;1256,15;10034,4;11198;1115,96
57;2010;September;9;1858,3;2397;1289,89;9182,2;11410;1242,62
58;2010;Oktober;10;1271;1457;1146,34;8917,6;10686;1198,30
59;2010;November;11;1619;1368;844,97;9477,7;9347;986,21
60;2010;Dezember;12;1054,2;902;855,63;9967;8094;812,08
61;2011;Januar;1;3178,9;2108;663,12;15737,9;12187;774,37
62;2011;Februar;2;1306,5;947;724,84;10781,1;8230;763,37
63;2011;März;3;1884,1;1298;688,92;11480,8;8253;718,85
64;2011;April;4;788,7;578;732,85;10356,7;7546;728,61
65;2011;Mai;5;1750,1;1208;690,25;11344,7;8455;745,28
66;2011;Juni;6;1276;1095;858,15;12005,7;9870;822,11
67;2011;Juli;7;1218,3;1105;907,00;9859;8776;890,15
68;2011;August;8;1820,8;1739;955,07;10619;9047;851,96
69;2011;September;9;1491,1;1446;969,75;9404,9;8751;930,47
70;2011;Oktober;10;1258,7;1016;807,18;9723,4;8894;914,70
71;2011;November;11;1748,7;1164;665,64;9829,9;8452;859,83
72;2011;Dezember;12;1813,5;1148;633,03;11622,8;10054;865,02
73;2012;Januar;1;728,7;530;727,32;11567,4;9049;782,28
74;2012;Februar;2;1276,5;850;665,88;11560,8;8310;718,81
75;2012;März;3;1920,3;997;519,19;11636,2;8609;739,85
76;2012;April;4;1052,5;699;664,13;11565;8016;693,13
77;2012;Mai;5;694,7;546;785,95;12769,9;11089;868,37
78;2012;Juni;6;664,8;743;1117,63;10365;10499;1012,93
79;2012;Juli;7;947,4;1252;1321,51;10162,8;11828;1163,85
80;2012;August;8;2007,4;2495;1242,90;9254,3;11669;1260,93
81;2012;September;9;1339,6;1732;1292,92;8024,4;10414;1297,79
82;2012;Oktober;10;583,2;763;1308,30;10421,2;12501;1199,57
83;2012;November;11;731,2;584;798,69;10821,1;11814;1091,76
84;2012;Dezember;12;1056,9;856;809,92;13287,2;13412;1009,39
85;2013;Januar;1;1020,1;951;932,26;12009,1;12954;1078,68
86;2013;Februar;2;2146,9;1913;891,05;11428,4;10780;943,26
87;2013;März;3;839,7;712;847,92;12590,6;12282;975,49
88;2013;April;4;951,2;844;887,30;11902,7;11927;1002,04
89;2013;Mai;5;665,6;709;1065,20;11436,3;13391;1170,92
90;2013;Juni;6;830,9;908;1092,79;11149,6;14421;1293,41
91;2013;Juli;7;1539;1763;1145,55;10234,6;13884;1356,57
92;2013;August;8;2444,9;2534;1036,44;11372,1;15214;1337,84
93;2013;September;9;1696,7;2303;1357,34;8838,7;12749;1442,41
94;2013;Oktober;10;838,2;801;955,62;11205,5;14189;1266,25
95;2013;November;11;1743,6;1436;823,58;9865;11030;1118,09
96;2013;Dezember;12;1232,9;989;802,17;15708,3;17348;1104,38
97;2014;Januar;1;1146;908;792,32;11109,8;10372;933,59
98;2014;Februar;2;1091;901;825,85;10716,5;10043;937,15
99;2014;März;3;790,9;672;849,66;10311,2;9531;924,33
100;2014;April;4;880,3;745;846,30;13006,5;11330;871,10
101;2014;Mai;5;854,4;802;938,67;12010,8;12357;1028,82
102;2014;Juni;6;1237,5;1368;1105,45;13044,5;15944;1222,28
103;2014;Juli;7;1448;1958;1352,21;12396,8;16897;1363,01
104;2014;August;8;1675,3;3161;1886,83;10505,1;17704;1685,28
105;2014;September;9;1270,9;2382;1874,26;8006,5;15638;1953,16
106;2014;Oktober;10;1439,9;1924;1336,20;9666,8;14536;1503,70
107;2014;November;11;803,9;840;1044,91;10248,7;11823;1153,61
108;2014;Dezember;12;1547,7;1167;754,02;14243,3;13615;955,89
109;2015;Januar;1;1597,3;1326;830,15;13232,7;12317;930,80
110;2015;Februar;2;1985,5;1593;802,32;9838,6;9341;949,42
111;2015;März;3;1009,8;939;929,89;13686,3;13381;977,69
112;2015;April;4;1327,6;1156;870,74;14855,8;14603;982,98
113;2015;Mai;5;1404,9;1439;1024,27;12823;13870;1081,65
114;2015;Juni;6;1380;1593;1154,35;14212,9;16753;1178,72
115;2015;Juli;7;1872,4;3121;1666,84;14716,1;20325;1381,14
116;2015;August;8;2257,8;4171;1847,37;11548,7;19972;1729,37
117;2015;September;9;1838,3;3463;1883,81;9209,8;15778;1713,18
118;2015;Oktober;10;764,5;1271;1662,52;10641,8;17662;1659,68
119;2015;November;11;2562,2;2856;1114,67;12903,2;19685;1525,59
120;2015;Dezember;12;1024,7;1290;1258,91;14449,3;20296;1404,64
121;2016;Januar;1;1741,4;1779;1021,59;15771,9;18680;1184,38
122;2016;Februar;2;1522,8;1821;1195,82;12552,7;17020;1355,88
123;2016;März;3;897,1;1242;1384,46;14805,5;20997;1418,19
124;2016;April;4;1122;1470;1310,16;15172,4;19594;1291,42
125;2016;Mai;5;646,7;1232;1905,06;13714;23429;1708,40
126;2016;Juni;6;1240,1;2870;2314,33;15117,8;27965;1849,81
127;2016;Juli;7;2150,4;5167;2402,81;12020,1;25080;2086,51
128;2016;August;8;1618,9;4239;2618,44;10064,2;21956;2181,59
129;2016;September;9;1539,6;3036;1971,94;9475,8;18416;1943,48
130;2016;Oktober;10;1605,1;1969;1226,71;11606,7;17928;1544,63
131;2016;November;11;1962,1;2143;1092,20;14136,6;20745;1467,47
132;2016;Dezember;12;1354,7;1443;1065,18;15747,8;18301;1162,13
133;2017;Januar;1;1369,1;1387;1013,07;16369,7;19882;1214,56
134;2017;Februar;2;834,5;1038;1243,86;14320,2;17090;1193,42
135;2017;März;3;855,1;1025;1198,69;15172,3;17425;1148,47
136;2017;April;4;950,8;1275;1340,98;15394,4;18599;1208,17
137;2017;Mai;5;1106,3;1454;1314,29;15482,4;19970;1289,85
138;2017;Juni;6;1146,6;1560;1360,54;15495,6;21741;1403,04
139;2017;Juli;7;1647,9;2785;1690,03;16173;23095;1428,00
140;2017;August;8;2039;3501;1717,02;11819,4;18187;1538,74
141;2017;September;9;1812,3;3106;1713,84;11934,6;19334;1620,00
142;2017;Oktober;10;1403,9;1941;1382,58;11595,1;17249;1487,61
143;2017;November;11;795,9;982;1233,82;12805,4;18664;1457,51
144;2017;Dezember;12;1295;1527;1179,15;16088,2;22588;1404,01
145;2018;Januar;1;1206,7;1253;1038,37;14262,3;18457;1294,11
146;2018;Februar;2;1463,9;1434;979,58;13754,9;17307;1258,24
147;2018;März;3;1097,1;949;865,01;16345,1;19139;1170,93
148;2018;April;4;1811,6;1642;906,38;15511,2;19252;1241,17
149;2018;Mai;5;1237,5;1478;1194,34;17199,8;24375;1417,17
150;2018;Juni;6;1447;2248;1553,56;15777,4;27680;1754,41
151;2018;Juli;7;1986,3;3457;1740,42;14180,1;26670;1880,80
152;2018;August;8;1439,1;3169;2202,07;12339,1;25648;2078,60
153;2018;September;9;1474,7;2892;1961,08;11794,8;24189;2050,82
154;2018;Oktober;10;1914,6;2272;1186,67;12509;21531;1721,24
155;2018;November;11;980,4;1018;1038,35;14193,1;20827;1467,40
156;2018;Dezember;12;586,5;738;1258,31;14109,1;19437;1377,62
157;2019;Januar;1;2146,1;1740;810,77;15701,3;19536;1244,23
158;2019;Februar;2;978,7;1034;1056,50;14405,6;17587;1220,84
159;2019;März;3;1529,2;1312;857,96;16851,4;18235;1082,11
160;2019;April;4;876,2;988;1127,60;16528,4;19386;1172,89
161;2019;Mai;5;531,9;749;1408,16;14546,3;17918;1231,79
162;2019;Juni;6;1210,5;1475;1218,50;20957,1;23866;1138,80
163;2019;Juli;7;1405,3;2335;1661,57;18233,7;23529;1290,41
164;2019;August;8;1739,5;2814;1617,71;17006,1;22076;1298,12
165;2019;September;9;1866,3;2829;1515,83;11102,1;17454;1572,14
166;2019;Oktober;10;690,1;1031;1493,99;12484,9;18636;1492,68
167;2019;November;11;1198,7;1322;1102,86;16279,6;22298;1369,69
168;2019;Dezember;12;452,5;650;1436,46;15205;21171;1392,37
