Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;6737,1;2968;440,55;64349,6;27765;431,47
2;2006;Februar;2;8399,8;4301;512,04;46115,7;27359;593,27
3;2006;März;3;13353,6;7134;534,24;58425,9;34974;598,60
4;2006;April;4;8390,8;5591;666,33;73366;49023;668,20
5;2006;Mai;5;9877,4;7536;762,95;65321,7;48451;741,73
6;2006;Juni;6;10269,1;8323;810,49;58097,6;41337;711,51
7;2006;Juli;7;10716;8582;800,86;60377,2;47975;794,59
8;2006;August;8;7975;8116;1017,68;55774,9;44646;800,47
9;2006;September;9;4712,1;4404;934,62;59922,6;48739;813,37
10;2006;Oktober;10;4256,9;2954;693,93;57610,2;43891;761,86
11;2006;November;11;6668,2;3607;540,93;27469,3;19622;714,32
12;2006;Dezember;12;8963,1;5039;562,19;44375,9;31192;702,90
13;2007;Januar;1;7347,6;4679;636,81;41695,2;29629;710,61
14;2007;Februar;2;12754;6059;475,07;44396,3;32172;724,65
15;2007;März;3;10497,5;6913;658,54;55376,2;40028;722,84
16;2007;April;4;13925,4;7727;554,89;65512,7;51480;785,80
17;2007;Mai;5;13608,2;8741;642,33;56096,9;44478;792,88
18;2007;Juni;6;13346;9537;714,60;53209,3;38932;731,68
19;2007;Juli;7;8442,6;7247;858,38;62980,6;52523;833,96
20;2007;August;8;6759,1;5949;880,15;73988,2;56474;763,28
21;2007;September;9;7469,4;4989;667,93;50245,7;30538;607,77
22;2007;Oktober;10;10048,6;4637;461,46;45434,2;27740;610,55
23;2007;November;11;11444,9;6154;537,71;39470,7;26059;660,21
24;2007;Dezember;12;9224;5232;567,22;43749;29414;672,34
25;2008;Januar;1;15406,3;8620;559,51;50190,4;32788;653,27
26;2008;Februar;2;14097,2;8612;610,90;50792;38762;763,15
27;2008;März;3;12382,8;7931;640,49;50291,3;40724;809,76
28;2008;April;4;12464,2;9792;785,61;55021,7;46263;840,81
29;2008;Mai;5;12462,9;9647;774,06;62785,5;53454;851,37
30;2008;Juni;6;12067,8;10524;872,07;55754,9;46025;825,49
31;2008;Juli;7;6336;6589;1039,93;57597,1;55342;960,85
32;2008;August;8;5869,3;6148;1047,48;47950,2;45515;949,21
33;2008;September;9;4965,2;4149;835,62;58905,7;51742;878,39
34;2008;Oktober;10;4537,8;2616;576,49;41189,6;27888;677,06
35;2008;November;11;7435,6;3676;494,38;39702,7;26533;668,29
36;2008;Dezember;12;7367,8;4123;559,60;30996,9;20469;660,36
37;2009;Januar;1;8529,1;4390;514,71;66151,7;30186;456,31
38;2009;Februar;2;10618,9;5277;496,94;45368,3;28091;619,18
39;2009;März;3;9709,7;5071;522,26;51125,4;31501;616,15
40;2009;April;4;10876,1;6445;592,58;51990,6;37061;712,84
41;2009;Mai;5;11137,7;7041;632,18;68581,1;50865;741,68
42;2009;Juni;6;11953,4;7390;618,23;51893,7;37450;721,67
43;2009;Juli;7;8911;5549;622,71;46176,9;37247;806,62
44;2009;August;8;5156;3851;746,90;46271,2;34042;735,71
45;2009;September;9;3728,4;2279;611,25;45715,5;27496;601,46
46;2009;Oktober;10;3539,4;1797;507,71;61727;23758;384,89
47;2009;November;11;8613;3375;391,85;47457,7;22154;466,82
48;2009;Dezember;12;6710,2;3283;489,26;36571,5;23544;643,78
49;2010;Januar;1;10610,7;5399;508,83;37388,2;24589;657,67
50;2010;Februar;2;9532,3;5031;527,78;44227,7;30659;693,21
51;2010;März;3;13097;6935;529,51;55969,6;36598;653,89
