Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;0;0;0;0;0;0
2;2006;Februar;2;0;0;0;0;0;0
3;2006;März;3;0;0;0;0;0;0
4;2006;April;4;0;0;0;0;0;0
5;2006;Mai;5;0;0;0;0;0;0
6;2006;Juni;6;0;0;0;0;0;0
7;2006;Juli;7;0;0;0;0;0;0
8;2006;August;8;0;0;0;0;0;0
9;2006;September;9;0;0;0;0;0;0
10;2006;Oktober;10;0;0;0;0;0;0
11;2006;November;11;0;0;0;0;0;0
12;2006;Dezember;12;0;0;0;0;0;0
13;2007;Januar;1;0;0;0;0;0;0
14;2007;Februar;2;0;0;0;0;0;0
15;2007;März;3;0;0;0;0;0;0
16;2007;April;4;0;0;0;0;0;0
17;2007;Mai;5;0;0;0;0;0;0
18;2007;Juni;6;0;0;0;0;0;0
19;2007;Juli;7;0;0;0;0;0;0
20;2007;August;8;0;0;0;0;0;0
21;2007;September;9;0;0;0;0;0;0
22;2007;Oktober;10;0;0;0;0;0;0
23;2007;November;11;0;0;0;0;0;0
24;2007;Dezember;12;0;0;0;0;0;0
25;2008;Januar;1;0;0;0;0;0;0
26;2008;Februar;2;0;0;0;0;0;0
27;2008;März;3;0;0;0;0;0;0
28;2008;April;4;0;0;0;0;0;0
29;2008;Mai;5;0;0;0;0;0;0
30;2008;Juni;6;0;0;0;0;0;0
31;2008;Juli;7;0;0;0;0;0;0
32;2008;August;8;0;0;0;0;0;0
33;2008;September;9;0;0;0;0;0;0
34;2008;Oktober;10;0;0;0;0;0;0
35;2008;November;11;0;0;0;0;0;0
36;2008;Dezember;12;0;0;0;0;0;0
37;2009;Januar;1;0;0;0;0;0;0
38;2009;Februar;2;0;0;0;0;0;0
39;2009;März;3;0;0;0;0;0;0
40;2009;April;4;0;0;0;0;0;0
41;2009;Mai;5;0;0;0;0;0;0
42;2009;Juni;6;0;0;0;0;0;0
43;2009;Juli;7;0;0;0;0;0;0
44;2009;August;8;0;0;0;0;0;0
45;2009;September;9;0;0;0;0;0;0
46;2009;Oktober;10;0;0;0;0;0;0
47;2009;November;11;0;0;0;0;0;0
48;2009;Dezember;12;0;0;0;0;0;0
49;2010;Januar;1;0;0;0;0;0;0
50;2010;Februar;2;0;0;0;0;0;0
51;2010;März;3;0;0;0;0;0;0
52;2010;April;4;0;0;0;0;0;0
53;2010;Mai;5;0;0;0;0;0;0
54;2010;Juni;6;0;0;0;0;0;0
55;2010;Juli;7;0;0;0;0;0;0
56;2010;August;8;0;0;0;0;0;0
57;2010;September;9;0;0;0;0;0;0
58;2010;Oktober;10;0;0;0;0;0;0
59;2010;November;11;0;0;0;0;0;0
60;2010;Dezember;12;0;0;0;0;0;0
61;2011;Januar;1;0;0;0;0;0;0
62;2011;Februar;2;0;0;0;0;0;0
63;2011;März;3;0;0;0;0;0;0
64;2011;April;4;0;0;0;0;0;0
65;2011;Mai;5;0;0;0;0;0;0
66;2011;Juni;6;0;0;0;0;0;0
67;2011;Juli;7;0;0;0;0;0;0
68;2011;August;8;0;0;0;0;0;0
69;2011;September;9;0;0;0;0;0;0
70;2011;Oktober;10;0;0;0;0;0;0
71;2011;November;11;0;0;0;0;0;0
72;2011;Dezember;12;0;0;0;0;0;0
73;2012;Januar;1;785,5;642;817,31;12904;10683;827,88
74;2012;Februar;2;925,9;944;1019,55;16347,5;14418;881,97
75;2012;März;3;1947,6;1986;1019,72;17650,1;15774;893,71
76;2012;April;4;2221,1;2534;1140,88;13515,1;12875;952,64
77;2012;Mai;5;2568,4;3116;1213,21;16029,4;18612;1161,12
78;2012;Juni;6;1980,4;2525;1274,99;9207,6;10538;1144,49
79;2012;Juli;7;993,2;1337;1346,15;8387,1;10299;1227,96
80;2012;August;8;938,5;952;1014,38;9477,2;10490;1106,87
81;2012;September;9;601,5;553;919,37;11360,2;12141;1068,73
82;2012;Oktober;10;1178,8;1070;907,7;14451,6;16652;1152,26
83;2012;November;11;1263,6;1195;945,71;10714,4;12763;1191,2
84;2012;Dezember;12;846,4;919;1085,78;12413,2;15067;1213,79
85;2013;Januar;1;499,1;643;1288,32;10719,1;13098;1221,93
86;2013;Februar;2;1107;1456;1315,27;12215,2;15902;1301,82
87;2013;März;3;3469,1;2714;782,34;13580,1;18100;1332,83
88;2013;April;4;2835,2;3629;1279,98;15296,4;18818;1230,22
89;2013;Mai;5;3901,3;5040;1291,88;16443,1;22222;1351,45
90;2013;Juni;6;1939,4;2618;1349,9;11652,5;15769;1353,27
91;2013;Juli;7;1343,2;1853;1379,54;8439,1;11318;1341,14
92;2013;August;8;888;977;1100,23;9354,8;10380;1109,59
93;2013;September;9;1037,9;784;755,37;12013,4;12260;1020,53
94;2013;Oktober;10;715,2;690;964,77;13525,8;15256;1127,92
95;2013;November;11;769,6;752;977,13;9987,7;11588;1160,23
96;2013;Dezember;12;852;833;977,7;14435,8;16609;1150,54
97;2014;Januar;1;731,9;728;994,67;13054,3;13728;1051,61
98;2014;Februar;2;993,9;1097;1103,73;15156,5;17158;1132,06
99;2014;März;3;1612,8;1886;1169,39;17375,5;19461;1120,03
100;2014;April;4;1632,5;1684;1031,55;21557,2;24639;1142,96
101;2014;Mai;5;2177,2;2343;1076,15;14502,3;17912;1235,11
102;2014;Juni;6;1184,6;1418;1197,03;11055,3;13133;1187,94
103;2014;Juli;7;1292,2;1383;1070,27;10041,3;11029;1098,36
