Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;0;0;0;1,4;2;1428,57
2;2006;Februar;2;0;0;0;4,4;5;1136,36
3;2006;März;3;0;0;0;14,8;20;1351,35
4;2006;April;4;0;0;0;20,9;25;1196,17
5;2006;Mai;5;0;0;0;56,6;52;918,73
6;2006;Juni;6;3,4;3;882,35;778,1;576;740,26
7;2006;Juli;7;0;0;0;762,2;559;733,40
8;2006;August;8;0;0;0;847,7;649;765,60
9;2006;September;9;0;0;0;653,5;445;680,95
10;2006;Oktober;10;44,5;35;786,52;346,4;245;707,27
11;2006;November;11;0;0;0;48,8;33;676,23
12;2006;Dezember;12;0;0;0;12,1;11;909,09
13;2007;Januar;1;12,7;8;629,92;18,1;19;1049,72
14;2007;Februar;2;0;0;0;7,7;9;1168,83
15;2007;März;3;0;0;0;9,5;8;842,11
16;2007;April;4;0;0;0;231,1;163;705,32
17;2007;Mai;5;1,7;2;1176,47;261,1;196;750,67
18;2007;Juni;6;1,2;1;833,33;1060,2;786;741,37
19;2007;Juli;7;1,9;2;1052,63;1282,8;949;739,79
20;2007;August;8;0;0;0;1170,2;967;826,35
21;2007;September;9;2;3;1500,00;825,6;649;786,09
22;2007;Oktober;10;50;48;960,00;1099,9;854;776,43
23;2007;November;11;0,9;1;1111,11;239,4;174;726,82
24;2007;Dezember;12;3,6;2;555,56;285,7;201;703,54
25;2008;Januar;1;7,1;16;2253,52;77,4;77;994,83
26;2008;Februar;2;3,4;2;588,24;117,3;110;937,77
27;2008;März;3;0;0;0;90,9;87;957,10
28;2008;April;4;4,9;13;2653,06;166,4;204;1225,96
29;2008;Mai;5;0;0;0;322,7;258;799,50
30;2008;Juni;6;0;0;0;777,5;612;787,14
31;2008;Juli;7;1;2;2000,00;1749,5;1414;808,23
32;2008;August;8;153,4;169;1101,69;2205,4;1805;818,45
33;2008;September;9;37,1;42;1132,08;657,8;580;881,73
34;2008;Oktober;10;0;0;0;244,3;230;941,47
35;2008;November;11;1,2;1;833,33;130;110;846,15
36;2008;Dezember;12;13,4;11;820,90;550,1;346;628,98
37;2009;Januar;1;0;0;0;16,3;18;1104,29
38;2009;Februar;2;0,3;0;0,00;15;20;1333,33
39;2009;März;3;0,1;0;0,00;37,1;50;1347,71
40;2009;April;4;0;0;0;55,5;56;1009,01
41;2009;Mai;5;0;0;0;78,3;88;1123,88
42;2009;Juni;6;2,8;3;1071,43;1571,5;1254;797,96
43;2009;Juli;7;80,5;75;931,68;3362,6;2784;827,93
44;2009;August;8;82,8;86;1038,65;1778,5;1477;830,48
45;2009;September;9;0,5;0;0,00;460,9;389;844,00
46;2009;Oktober;10;0;0;0;38,4;49;1276,04
47;2009;November;11;0,1;0;0,00;28,2;43;1524,82
48;2009;Dezember;12;0;0;0;14,9;23;1543,62
49;2010;Januar;1;0;0;0;24,4;22;901,64
50;2010;Februar;2;0,1;0;0,00;88,9;142;1597,30
51;2010;März;3;0,1;0;0,00;48;58;1208,33
52;2010;April;4;0;0;0;92,7;111;1197,41
53;2010;Mai;5;0;0;0;164,6;182;1105,71
54;2010;Juni;6;20,4;15;735,29;724,5;684;944,10
55;2010;Juli;7;29,7;33;1111,11;1008,9;896;888,10
56;2010;August;8;7,5;9;1200,00;421,9;325;770,32
57;2010;September;9;3;3;1000,00;297,6;221;742,61
58;2010;Oktober;10;0,1;0;0,00;99,7;84;842,53
59;2010;November;11;0;0;0;28,3;48;1696,11
60;2010;Dezember;12;0;0;0;20,8;30;1442,31
61;2011;Januar;1;5,1;6;1176,47;20,9;18;861,24
62;2011;Februar;2;0,2;0;0,00;18,1;31;1712,71
63;2011;März;3;0,2;0;0,00;68,8;102;1482,56
64;2011;April;4;0,2;0;0,00;110,7;130;1174,35
65;2011;Mai;5;0,2;0;0,00;101,7;113;1111,11
66;2011;Juni;6;0;0;0;204,5;172;841,08
67;2011;Juli;7;0,4;0;0,00;397,1;338;851,17
68;2011;August;8;0,2;0;0,00;1088,4;886;814,04
69;2011;September;9;0,7;0;0,00;300,4;252;838,88
70;2011;Oktober;10;0,2;0;0,00;93,2;104;1115,88
71;2011;November;11;0,2;0;0,00;101,3;110;1085,88
72;2011;Dezember;12;0;0;0;14,1;24;1702,13
73;2012;Januar;1;1,4;1;714,29;18,7;34;1818,18
74;2012;Februar;2;12,8;7;546,88;20,7;38;1835,75
75;2012;März;3;2,1;2;952,38;96,7;133;1375,39
76;2012;April;4;1,9;2;1052,63;77,7;103;1325,61
77;2012;Mai;5;2,4;3;1250,00;189,6;176;928,27
78;2012;Juni;6;3,2;4;1250,00;346,1;320;924,59
79;2012;Juli;7;23,5;20;851,06;560,4;460;820,84
80;2012;August;8;2,3;2;869,57;743,3;612;823,36
81;2012;September;9;5;5;1000,00;173,7;146;840,53
82;2012;Oktober;10;2,9;3;1034,48;229,5;189;823,53
83;2012;November;11;0,1;0;0,00;35;49;1400,00
84;2012;Dezember;12;2,6;3;1153,85;34,4;47;1366,28
85;2013;Januar;1;2;2;1000,00;29,1;36;1237,11
86;2013;Februar;2;2,7;3;1111,11;24,8;36;1451,61
87;2013;März;3;1,3;2;1538,46;58,1;79;1359,72
88;2013;April;4;1,2;2;1666,67;24,1;33;1369,29
89;2013;Mai;5;0,1;0;0,00;155,9;138;885,18
90;2013;Juni;6;0,2;0;0,00;130,6;144;1102,60
91;2013;Juli;7;0,9;1;1111,11;781,4;686;877,91
92;2013;August;8;0,3;0;0,00;717;614;856,35
93;2013;September;9;0,9;1;1111,11;209,6;178;849,24
94;2013;Oktober;10;0,2;0;0,00;337,1;245;726,79
95;2013;November;11;0,1;0;0,00;50,8;48;944,88
96;2013;Dezember;12;0,3;0;0,00;17,4;32;1839,08
97;2014;Januar;1;0,2;0;0,00;9,2;16;1739,13
98;2014;Februar;2;3,2;5;1562,50;31;39;1258,06
99;2014;März;3;0,3;0;0,00;108,5;112;1032,26
100;2014;April;4;0,6;1;1666,67;60,5;86;1421,49
101;2014;Mai;5;38;23;605,26;107,4;87;810,06
102;2014;Juni;6;0,7;1;1428,57;253,9;204;803,47
103;2014;Juli;7;25,4;21;826,77;703,6;630;895,40
104;2014;August;8;0,3;0;0,00;571,2;512;896,36
105;2014;September;9;77,7;47;604,89;428,2;338;789,35
106;2014;Oktober;10;45,7;27;590,81;219,4;191;870,56
107;2014;November;11;0;0;0;64,6;93;1439,63
108;2014;Dezember;12;41;24;585,37;22;23;1045,45
109;2015;Januar;1;1,1;1;909,09;18,5;17;918,92
110;2015;Februar;2;0,5;1;2000,00;33,7;35;1038,58
111;2015;März;3;1,1;1;909,09;24,7;34;1376,52
112;2015;April;4;0;0;0;82,5;98;1187,88
113;2015;Mai;5;0,2;0;0,00;134,3;119;886,08
114;2015;Juni;6;0,2;0;0,00;108;95;879,63
115;2015;Juli;7;0,5;0;0,00;832,1;764;918,16
116;2015;August;8;1,7;1;588,24;810,3;779;961,37
117;2015;September;9;3,1;3;967,74;462,3;400;865,24
118;2015;Oktober;10;58,5;37;632,48;79,6;89;1118,09
119;2015;November;11;21,6;9;416,67;27,3;35;1282,05
120;2015;Dezember;12;1,6;2;1250,00;58,2;65;1116,84
121;2016;Januar;1;2,3;3;1304,35;14,9;15;1006,71
122;2016;Februar;2;5,8;7;1206,90;46,2;42;909,09
123;2016;März;3;1,6;3;1875,00;71,5;86;1202,80
124;2016;April;4;0,4;1;2500,00;99,7;95;952,86
125;2016;Mai;5;0,4;1;2500,00;138,7;122;879,60
126;2016;Juni;6;1,3;2;1538,46;243;219;901,23
127;2016;Juli;7;6,2;7;1129,03;751,5;727;967,40
128;2016;August;8;14,7;15;1020,41;274,7;255;928,29
129;2016;September;9;7,8;8;1025,64;86,3;91;1054,46
130;2016;Oktober;10;2,2;3;1363,64;239,9;195;812,84
131;2016;November;11;0,8;1;1250,00;25,9;42;1621,62
132;2016;Dezember;12;0,9;1;1111,11;22,3;31;1390,13
133;2017;Januar;1;0,8;1;1250,00;19,3;21;1088,08
134;2017;Februar;2;0,4;1;2500,00;24,4;21;860,66
135;2017;März;3;0,6;1;1666,67;27,4;38;1386,86
136;2017;April;4;0,8;1;1250,00;53,3;73;1369,61
137;2017;Mai;5;1,1;1;909,09;72,7;77;1059,15
138;2017;Juni;6;0,5;1;2000,00;185,6;167;899,78
139;2017;Juli;7;75,1;78;1038,62;758,3;576;759,59
140;2017;August;8;113,9;111;974,54;1406,1;1265;899,65
141;2017;September;9;45,9;45;980,39;534,6;492;920,31
142;2017;Oktober;10;1,5;3;2000,00;131,8;140;1062,22
143;2017;November;11;0,4;1;2500,00;51,6;73;1414,73
144;2017;Dezember;12;0,4;1;2500,00;27,7;37;1335,74
145;2018;Januar;1;0,1;0;0,00;67,4;76;1127,60
146;2018;Februar;2;0,2;0;0,00;16,2;20;1234,57
147;2018;März;3;0,1;0;0,00;59,1;78;1319,80
148;2018;April;4;0,4;1;2500,00;63,7;83;1302,98
149;2018;Mai;5;0,6;1;1666,67;155,3;172;1107,53
150;2018;Juni;6;1;1;1000,00;474,7;494;1040,66
151;2018;Juli;7;82,8;87;1050,72;2081,2;2102;1009,99
152;2018;August;8;49,2;55;1117,89;1389,2;1370;986,18
153;2018;September;9;19,2;20;1041,67;262,9;265;1007,99
154;2018;Oktober;10;3,3;4;1212,12;58,7;66;1124,36
155;2018;November;11;1,8;3;1666,67;66,4;99;1490,96
156;2018;Dezember;12;0,2;0;0,00;27,8;38;1366,91
157;2019;Januar;1;0,7;1;1428,57;43,1;68;1577,73
158;2019;Februar;2;0,4;1;2500,00;5;5;1000,00
159;2019;März;3;0,7;1;1428,57;8,5;18;2117,65
160;2019;April;4;0,4;1;2500,00;46;69;1500,00
161;2019;Mai;5;0,4;1;2500,00;108,8;119;1093,75
162;2019;Juni;6;1,4;2;1428,57;159,1;171;1074,80
163;2019;Juli;7;58;64;1103,45;1024,2;1209;1180,43
164;2019;August;8;22,2;25;1126,13;1159,6;1345;1159,88
165;2019;September;9;0,2;0;0,00;1216,2;1236;1016,28
166;2019;Oktober;10;41;49;1195,12;71,4;80;1120,45
167;2019;November;11;2,6;3;1153,85;29,9;58;1939,80
168;2019;Dezember;12;0,4;1;2500,00;4;4;1000,00
169;2020;Januar;1;0,2;0;0,00;36,1;41;1135,73
170;2020;Februar;2;0,3;0;0,00;3;5;1666,67
171;2020;März;3;0,6;1;1666,67;83,4;108;1294,96
172;2020;April;4;0,2;0;0,00;37,9;37;976,25
173;2020;Mai;5;1,4;2;1428,57;42,1;54;1282,66
174;2020;Juni;6;0,9;1;1111,11;162,1;192;1184,45
175;2020;Juli;7;24,5;23;938,78;1533,2;1910;1245,76
176;2020;August;8;92,6;109;1177,11;1894,5;2262;1193,98
177;2020;September;9;8,9;11;1235,96;1726,3;1291;747,84
178;2020;Oktober;10;52,7;65;1233,40;736,9;762;1034,06
