Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;1658,4;545;328,63;232,5;588;2529,03
2;2006;Februar;2;508,9;215;422,48;243,3;578;2375,67
3;2006;März;3;407,4;316;775,65;181,5;514;2831,96
4;2006;April;4;69,9;121;1731,04;297;706;2377,10
5;2006;Mai;5;66,2;48;725,08;216,6;657;3033,24
6;2006;Juni;6;2171,2;825;379,97;244,5;732;2993,87
7;2006;Juli;7;3942,6;1122;284,58;179,2;560;3125,00
8;2006;August;8;720,5;538;746,70;169;495;2928,99
9;2006;September;9;665,4;524;787,50;1074,1;928;863,98
10;2006;Oktober;10;389;622;1598,97;164,9;570;3456,64
11;2006;November;11;1266,4;442;349,02;280,6;535;1906,63
12;2006;Dezember;12;416,2;346;831,33;394,2;764;1938,10
13;2007;Januar;1;406;233;573,89;666,6;1508;2262,23
14;2007;Februar;2;1063,9;356;334,62;328,7;767;2333,43
15;2007;März;3;168,6;282;1672,60;218,2;795;3643,45
16;2007;April;4;793,8;496;624,84;200,6;749;3733,80
17;2007;Mai;5;388,3;366;942,57;498,1;1121;2250,55
18;2007;Juni;6;350,5;338;964,34;345,4;826;2391,43
19;2007;Juli;7;1822,4;960;526,78;175,9;592;3365,55
20;2007;August;8;3293,7;1098;333,36;994,6;993;998,39
21;2007;September;9;771,3;509;659,92;806,5;873;1082,46
22;2007;Oktober;10;2327;443;190,37;243,6;628;2578,00
23;2007;November;11;90,9;243;2673,27;225,8;557;2466,78
24;2007;Dezember;12;735,3;402;546,72;254,9;681;2671,64
25;2008;Januar;1;117;185;1581,20;233,3;628;2691,81
26;2008;Februar;2;100;103;1030,00;234,6;586;2497,87
27;2008;März;3;100,7;196;1946,38;172,9;519;3001,74
28;2008;April;4;55,8;116;2078,85;198,7;521;2622,04
29;2008;Mai;5;126,5;305;2411,07;198,2;636;3208,88
30;2008;Juni;6;2188,9;1262;576,55;259,6;788;3035,44
31;2008;Juli;7;1752,7;1047;597,36;326,9;759;2321,81
32;2008;August;8;446,8;418;935,54;193,5;513;2651,16
33;2008;September;9;3513,4;1063;302,56;1096,1;1196;1091,14
34;2008;Oktober;10;2923,2;1221;417,69;865,5;1024;1183,13
35;2008;November;11;103,9;228;2194,42;719,3;1129;1569,58
36;2008;Dezember;12;196,5;449;2284,99;129,7;576;4441,02
37;2009;Januar;1;53,1;112;2109,23;216,5;853;3939,95
38;2009;Februar;2;192,2;136;707,60;290;647;2231,03
39;2009;März;3;123,7;134;1083,27;219,7;706;3213,47
40;2009;April;4;65,9;167;2534,14;375,5;945;2516,64
41;2009;Mai;5;60;133;2216,67;235,3;768;3263,92
42;2009;Juni;6;2870,4;1372;477,98;203,3;539;2651,25
43;2009;Juli;7;6691,3;2859;427,27;448,9;674;1501,45
44;2009;August;8;900,4;553;614,17;2488,9;1875;753,34
45;2009;September;9;3977,9;1320;331,83;389,5;690;1771,50
46;2009;Oktober;10;83,7;188;2246,12;124,9;484;3875,10
47;2009;November;11;207,9;148;711,88;123,3;406;3292,78
48;2009;Dezember;12;54,9;133;2422,59;189,1;603;3188,79
49;2010;Januar;1;129,3;108;835,27;195,7;534;2728,67
50;2010;Februar;2;18,6;34;1827,96;221,3;514;2322,64
51;2010;März;3;96,9;89;918,47;534,1;935;1750,61
52;2010;April;4;36;37;1027,78;230,2;736;3197,22
53;2010;Mai;5;68,7;72;1048,03;256,5;853;3325,54
54;2010;Juni;6;1105,4;737;666,73;254;739;2909,45
55;2010;Juli;7;3944,2;1145;290,30;241,4;747;3094,45
56;2010;August;8;788;569;722,08;1970,2;1834;930,87
57;2010;September;9;93,4;57;610,28;576,8;821;1423,37
58;2010;Oktober;10;72,6;199;2741,05;419,3;740;1764,85
59;2010;November;11;61,5;105;1707,32;230,8;655;2837,95
60;2010;Dezember;12;1705,1;441;258,64;422,6;903;2136,77
61;2011;Januar;1;9,8;39;3979,59;366,3;863;2355,99
62;2011;Februar;2;20,9;54;2583,73;384,7;793;2061,35
63;2011;März;3;47,3;106;2241,01;431,9;1112;2574,67
64;2011;April;4;46,4;98;2112,07;285,4;835;2925,72
65;2011;Mai;5;96,1;237;2466,18;333,5;802;2404,80
66;2011;Juni;6;3013,8;1373;455,57;409,3;952;2325,92
67;2011;Juli;7;1759,7;776;440,98;821,6;1025;1247,57
68;2011;August;8;393,3;502;1276,38;1198,7;1293;1078,67
69;2011;September;9;1646,7;877;532,58;319,6;739;2312,27
70;2011;Oktober;10;42,1;156;3705,46;209,5;640;3054,89
71;2011;November;11;40,6;135;3325,12;179,4;563;3138,24
72;2011;Dezember;12;59,7;131;2194,30;243,2;794;3264,80
73;2012;Januar;1;1480,8;457;308,62;411,2;1182;2874,51
74;2012;Februar;2;66,7;114;1709,15;287,3;1092;3800,90
75;2012;März;3;372,7;167;448,08;342,2;1345;3930,45
76;2012;April;4;170,2;295;1733,25;449,7;1237;2750,72
77;2012;Mai;5;81,5;179;2196,32;309,2;1028;3324,71
78;2012;Juni;6;2054,9;1197;582,51;307,7;954;3100,42
79;2012;Juli;7;3479,8;1410;405,20;442,4;1018;2301,08
80;2012;August;8;1378,8;1025;743,40;207,5;751;3619,28
81;2012;September;9;2101,5;1090;518,68;866,9;1276;1471,91
82;2012;Oktober;10;1590,3;544;342,07;383,7;1013;2640,08
83;2012;November;11;21,1;76;3601,90;215,1;828;3849,37
84;2012;Dezember;12;28,2;103;3652,48;598,4;1307;2184,16
85;2013;Januar;1;42,4;120;2830,19;345;943;2733,33
86;2013;Februar;2;137,8;135;979,68;418,7;1352;3229,04
87;2013;März;3;97,9;120;1225,74;494,9;1371;2770,26
88;2013;April;4;565,3;157;277,73;361,3;1071;2964,30
89;2013;Mai;5;18,7;64;3422,46;334;1077;3224,55
90;2013;Juni;6;484,3;632;1304,98;374,2;1210;3233,56
91;2013;Juli;7;4530,8;1960;432,59;340,8;973;2855,05
92;2013;August;8;1773,3;895;504,71;357,8;910;2543,32
93;2013;September;9;2181,8;1325;607,30;500,4;991;1980,42
94;2013;Oktober;10;1603,3;610;380,47;1663;2213;1330,73
95;2013;November;11;70,7;76;1074,96;439,8;771;1753,07
96;2013;Dezember;12;16,3;65;3987,73;518,2;1562;3014,28
97;2014;Januar;1;20,3;72;3546,80;361,8;1196;3305,69
98;2014;Februar;2;35,3;103;2917,85;338,4;1187;3507,68
99;2014;März;3;33,6;111;3303,57;356,9;1268;3552,82
100;2014;April;4;24,8;93;3750,00;467,7;1300;2779,56
101;2014;Mai;5;128;417;3257,81;400,1;1227;3066,73
102;2014;Juni;6;724,6;604;833,56;448,3;1358;3029,22
103;2014;Juli;7;7103;2962;417,01;333,4;1176;3527,29
104;2014;August;8;2310;1268;548,92;564,6;1396;2472,55
105;2014;September;9;575,7;372;646,17;1257,6;1710;1359,73
106;2014;Oktober;10;1681,7;726;431,71;864;1519;1758,10
107;2014;November;11;154,2;115;745,78;237,6;947;3985,69
108;2014;Dezember;12;942,6;604;640,78;566,2;1742;3076,65
109;2015;Januar;1;53,9;112;2077,92;573,4;1651;2879,32
110;2015;Februar;2;169,3;153;903,72;320,2;987;3082,45
111;2015;März;3;75,5;101;1337,75;620,7;2110;3399,39
112;2015;April;4;94,3;82;869,57;465,7;1614;3465,75
113;2015;Mai;5;100,6;191;1898,61;430,5;1409;3272,94
114;2015;Juni;6;1670,9;946;566,16;481,5;1404;2915,89
115;2015;Juli;7;3482,9;1786;512,79;420,6;1382;3285,78
116;2015;August;8;2984,8;1514;507,24;454,4;1326;2918,13
117;2015;September;9;94,9;174;1833,51;1589,4;2153;1354,60
118;2015;Oktober;10;829,1;522;629,60;1614,2;2171;1344,94
119;2015;November;11;106,5;160;1502,35;540,4;1471;2722,06
120;2015;Dezember;12;92,4;170;1839,83;470,3;1647;3502,02
121;2016;Januar;1;1419,2;538;379,09;591,8;1737;2935,11
122;2016;Februar;2;219,9;200;909,50;565,4;1636;2893,53
123;2016;März;3;19,5;76;3897,44;613,2;1823;2972,93
124;2016;April;4;16,7;69;4131,74;588,7;1276;2167,49
125;2016;Mai;5;47,6;180;3781,51;631,6;1754;2777,07
126;2016;Juni;6;2079,1;1127;542,06;551,5;1332;2415,23
127;2016;Juli;7;3025,3;1264;417,81;541,2;1365;2522,17
128;2016;August;8;3949,2;1887;477,82;1528;2149;1406,41
129;2016;September;9;1234,1;539;436,76;442,3;1139;2575,18
130;2016;Oktober;10;1164,6;513;440,49;807,1;1708;2116,22
131;2016;November;11;60,9;55;903,12;539,9;1369;2535,65
132;2016;Dezember;12;116,5;97;832,62;827,5;1962;2371,00
133;2017;Januar;1;157,7;280;1775,52;604,6;1801;2978,83
134;2017;Februar;2;197,4;470;2380,95;666,9;2100;3148,90
135;2017;März;3;178,7;321;1796,31;537,8;1755;3263,29
136;2017;April;4;125,6;354;2818,47;873,6;2315;2649,95
137;2017;Mai;5;65,7;198;3013,70;550,2;1793;3258,81
138;2017;Juni;6;3054,5;1613;528,07;520,7;1362;2615,71
139;2017;Juli;7;2958,8;1093;369,41;631,3;1525;2415,65
140;2017;August;8;4754,6;2340;492,15;1642,8;2424;1475,53
141;2017;September;9;917;320;348,96;1870;2748;1469,52
142;2017;Oktober;10;153,2;333;2173,63;1021,5;2080;2036,22
143;2017;November;11;68,8;73;1061,05;604,2;1840;3045,35
144;2017;Dezember;12;47,2;114;2415,25;561;1941;3459,89
145;2018;Januar;1;62,7;171;2727,27;587,1;2098;3573,50
146;2018;Februar;2;37,6;121;3218,09;844,3;2434;2882,86
147;2018;März;3;99;142;1434,34;654,6;2347;3585,40
148;2018;April;4;103;178;1728,16;449,2;1636;3642,03
149;2018;Mai;5;277,6;440;1585,01;510,1;1491;2922,96
150;2018;Juni;6;1346,9;1287;955,53;499,4;1490;2983,58
151;2018;Juli;7;4070,9;2353;578,00;561,9;1598;2843,92
152;2018;August;8;3843,1;2267;589,89;407,6;1747;4286,06
153;2018;September;9;2357,4;928;393,65;1490,6;2799;1877,77
154;2018;Oktober;10;439,8;649;1475,67;801,9;2380;2967,95
155;2018;November;11;233,5;210;899,36;468,3;1702;3634,42
156;2018;Dezember;12;105,8;134;1266,54;592,9;1980;3339,52
157;2019;Januar;1;1219,8;439;359,90;755,5;2149;2844,47
158;2019;Februar;2;781,8;400;511,64;625,6;2243;3585,36
159;2019;März;3;28,1;120;4270,46;561,2;1679;2991,80
160;2019;April;4;1766,4;557;315,33;610,1;2297;3764,96
161;2019;Mai;5;103;332;3223,30;500,5;1614;3224,78
162;2019;Juni;6;551,1;750;1360,91;568,8;1394;2450,77
163;2019;Juli;7;7128,8;3371;472,87;677,7;1777;2622,10
164;2019;August;8;2338,8;1308;559,26;744,8;2182;2929,65
165;2019;September;9;966,9;538;556,42;438,1;1501;3426,16
166;2019;Oktober;10;427,5;337;788,30;303,2;1258;4149,08
167;2019;November;11;82,6;104;1259,08;516,9;2021;3909,85
168;2019;Dezember;12;1204,9;369;306,25;460,4;1711;3716,33
169;2020;Januar;1;1667,9;883;529,41;697,9;2247;3219,66
170;2020;Februar;2;745,8;436;584,61;683,3;2113;3092,35
171;2020;März;3;1251,1;496;396,45;425,3;1938;4556,78
172;2020;April;4;506,9;224;441,90;630;2143;3401,59
173;2020;Mai;5;830;979;1179,52;636,9;1815;2849,74
174;2020;Juni;6;1635,6;983;601,00;315,3;1547;4906,44
175;2020;Juli;7;3864,8;2127;550,35;909,2;1633;1796,08
176;2020;August;8;187,9;317;1687,07;1125,5;1707;1516,66
177;2020;September;9;2036,7;1071;525,85;444,1;2042;4598,06
178;2020;Oktober;10;107,5;135;1255,81;715,6;1930;2697,04
