Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;81,8;135;1650,37;468,9;508;1083,39
2;2006;Februar;2;23,5;45;1914,89;425;611;1437,65
3;2006;März;3;11,8;26;2203,39;184,1;727;3948,94
4;2006;April;4;52,5;114;2171,43;700,4;1557;2223,02
5;2006;Mai;5;35,5;98;2760,56;456,3;1677;3675,21
6;2006;Juni;6;49,5;138;2787,88;367,9;1552;4218,54
7;2006;Juli;7;224,4;387;1724,60;3928,7;3799;966,99
8;2006;August;8;295,8;496;1676,81;2704,6;2237;827,11
9;2006;September;9;188,1;264;1403,51;2493,6;1806;724,25
10;2006;Oktober;10;204,7;229;1118,71;480,8;659;1370,63
11;2006;November;11;15,4;34;2207,79;84,3;315;3736,65
12;2006;Dezember;12;100,9;190;1883,05;138,7;543;3914,92
13;2007;Januar;1;16,7;44;2634,73;254,2;592;2328,87
14;2007;Februar;2;17,6;51;2897,73;336,6;761;2260,84
15;2007;März;3;21,5;78;3627,91;363,9;782;2148,94
16;2007;April;4;33,3;229;6876,88;485,5;909;1872,30
17;2007;Mai;5;21,6;109;5046,30;483,1;1695;3508,59
18;2007;Juni;6;63,5;258;4062,99;1302,1;2937;2255,59
19;2007;Juli;7;171,5;412;2402,33;2843,6;4586;1612,74
20;2007;August;8;464,4;665;1431,96;2309,7;3389;1467,29
21;2007;September;9;90,1;175;1942,29;4055,8;5560;1370,88
22;2007;Oktober;10;210,8;300;1423,15;2163,3;2904;1342,39
23;2007;November;11;16,1;47;2919,25;139,5;591;4236,56
24;2007;Dezember;12;10,7;69;6448,60;241,2;870;3606,97
25;2008;Januar;1;18,3;139;7595,63;260,7;968;3713,08
26;2008;Februar;2;21,3;57;2676,06;320;860;2687,50
27;2008;März;3;26,9;202;7509,29;311,4;1464;4701,35
28;2008;April;4;38;285;7500,00;584,8;2796;4781,12
29;2008;Mai;5;33,7;287;8516,32;429;2456;5724,94
30;2008;Juni;6;117;453;3871,79;420,1;1956;4656,03
31;2008;Juli;7;245,9;600;2440,02;4171,2;7166;1717,97
32;2008;August;8;209,2;503;2404,40;5042,6;7343;1456,19
33;2008;September;9;155,2;336;2164,95;4497,4;6197;1377,91
34;2008;Oktober;10;175;344;1965,71;2389,5;3759;1573,13
35;2008;November;11;19,7;121;6142,13;291,3;845;2900,79
36;2008;Dezember;12;16,1;108;6708,07;550,6;1337;2428,26
37;2009;Januar;1;15;97;6466,67;117;731;6247,86
38;2009;Februar;2;6;48;8000,00;177,4;587;3308,91
39;2009;März;3;22,2;141;6351,35;192,9;1213;6288,23
40;2009;April;4;59;437;7406,78;596,4;4039;6772,30
41;2009;Mai;5;50,6;362;7154,15;651,7;4067;6240,60
42;2009;Juni;6;54,2;306;5645,76;916,4;4544;4958,53
43;2009;Juli;7;502,3;774;1540,91;3246,5;4000;1232,10
44;2009;August;8;271,1;414;1527,11;4661,6;4757;1020,47
45;2009;September;9;29;170;5862,07;3624,5;3979;1097,81
46;2009;Oktober;10;50,8;233;4586,61;1330,6;2788;2095,30
47;2009;November;11;8;58;7250,00;503,9;1605;3185,16
48;2009;Dezember;12;26,9;173;6431,23;344,9;2189;6346,77
49;2010;Januar;1;27,7;167;6028,88;191,7;1098;5727,70
50;2010;Februar;2;21,5;160;7441,86;304,2;1388;4562,79
51;2010;März;3;25,3;91;3596,84;249,3;1461;5860,41
52;2010;April;4;87,1;488;5602,76;458,1;3262;7120,72
53;2010;Mai;5;43,3;285;6581,99;440,9;3106;7044,68
54;2010;Juni;6;171,3;881;5143,02;944,3;4932;5222,92
55;2010;Juli;7;639,4;1006;1573,35;3298;5711;1731,66
56;2010;August;8;108;288;2666,67;3622,9;5102;1408,26
57;2010;September;9;97;203;2092,78;2534,2;4242;1673,90
