Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;2735,1;956;349,53;22579;6898;305,51
2;2006;Februar;2;3501,8;1110;316,98;25998,9;10662;410,09
3;2006;März;3;2309,6;889;384,92;25513,7;9513;372,86
4;2006;April;4;1667,6;828;496,52;24547,5;11073;451,08
5;2006;Mai;5;1520;900;592,11;30488;11859;388,97
6;2006;Juni;6;4095,6;1354;330,60;26511,8;13107;494,38
7;2006;Juli;7;2339,9;1103;471,39;19578,5;9158;467,76
8;2006;August;8;2862,2;1205;421,00;13215,8;4527;342,54
9;2006;September;9;2278,1;974;427,55;16177,1;4404;272,24
10;2006;Oktober;10;2526,5;886;350,68;8884;3140;353,44
11;2006;November;11;2370;603;254,43;11369,9;3801;334,30
12;2006;Dezember;12;2203,5;723;328,11;12566,3;4531;360,57
13;2007;Januar;1;3881,3;718;184,99;16715,1;5907;353,39
14;2007;Februar;2;5231,1;849;162,30;28107,3;9712;345,53
15;2007;März;3;945;351;371,43;28486,6;10225;358,94
16;2007;April;4;2301,3;859;373,27;27729,1;10830;390,56
17;2007;Mai;5;4337,2;1678;386,89;24222,2;9162;378,25
18;2007;Juni;6;1356,9;712;524,73;21597,4;7333;339,53
19;2007;Juli;7;5116;1512;295,54;15256;7173;470,18
20;2007;August;8;3981,2;1223;307,19;15492,8;5507;355,46
21;2007;September;9;8150,5;1447;177,54;14995,6;3874;258,34
22;2007;Oktober;10;4083,7;1399;342,58;12956,6;4263;329,02
23;2007;November;11;5619,6;1412;251,26;11090,2;3857;347,78
24;2007;Dezember;12;3882,3;1000;257,58;16588,9;6558;395,32
25;2008;Januar;1;5065,3;1530;302,06;32769,4;8966;273,61
26;2008;Februar;2;2824,1;881;311,96;22173,3;8487;382,76
27;2008;März;3;4733;1402;296,22;29822,5;10558;354,03
28;2008;April;4;3715,4;1494;402,11;31042,8;11965;385,44
29;2008;Mai;5;4168,7;1605;385,01;31108,2;13005;418,06
30;2008;Juni;6;2547,9;1472;577,73;27976,2;12682;453,31
31;2008;Juli;7;4114,7;1585;385,20;16829,4;9074;539,18
32;2008;August;8;8175,9;1457;178,21;9129,3;4010;439,25
33;2008;September;9;7233;1293;178,76;14802;4693;317,05
34;2008;Oktober;10;5308,3;1332;250,93;8708,8;2841;326,22
35;2008;November;11;6317,4;1404;222,24;9971,7;3243;325,22
36;2008;Dezember;12;3483,6;965;277,01;8501,7;3890;457,56
37;2009;Januar;1;5299,3;1401;264,37;30893;10661;345,09
38;2009;Februar;2;3777;912;241,46;27898,9;11612;416,22
39;2009;März;3;3656,9;1673;457,49;33034,6;14931;451,98
40;2009;April;4;5054,8;1668;329,98;31332,8;13607;434,27
41;2009;Mai;5;3223,8;1567;486,07;26666,6;16151;605,66
42;2009;Juni;6;2677,5;1486;555,00;32472,9;15700;483,48
43;2009;Juli;7;1639,4;636;387,95;11548,8;4663;403,76
44;2009;August;8;6239,4;1050;168,29;10516,2;3450;328,07
45;2009;September;9;7725,3;1188;153,78;9539,8;2599;272,44
46;2009;Oktober;10;6198,7;1180;190,36;6596,2;2023;306,69
47;2009;November;11;2839,1;970;341,66;7417,3;2570;346,49
48;2009;Dezember;12;2409,8;631;261,85;14308,8;5177;361,81
49;2010;Januar;1;1792,7;735;410,00;21638,6;7752;358,25
50;2010;Februar;2;2196,7;747;340,06;27431;9573;348,98
51;2010;März;3;2095,3;1034;493,49;32539,5;11468;352,43
52;2010;April;4;1365,2;664;486,38;26678,3;10386;389,31
53;2010;Mai;5;2627;1264;481,16;30152,6;13104;434,59
54;2010;Juni;6;2052,7;1238;603,11;25788,7;10275;398,43
55;2010;Juli;7;1628,1;870;534,37;16540;5850;353,69
