Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;173836,5;13604;78,26;18095,1;4048;223,71
2;2006;Februar;2;204446,6;15679;76,69;28896,9;6462;223,62
3;2006;März;3;91854,1;12909;140,54;75607,7;20419;270,07
4;2006;April;4;83593,5;12307;147,22;83404,7;24686;295,98
5;2006;Mai;5;88641,9;14200;160,20;59591,4;22233;373,09
6;2006;Juni;6;63583,7;10736;168,85;99399,3;39834;400,75
7;2006;Juli;7;113127,2;17800;157,35;93404,8;25394;271,87
8;2006;August;8;138008,4;20434;148,06;50544,6;17592;348,05
9;2006;September;9;26887,2;5617;208,91;39456,6;11645;295,13
10;2006;Oktober;10;260584,2;23957;91,94;22919,5;6312;275,40
11;2006;November;11;81524,7;10718;131,47;14135,2;3370;238,41
12;2006;Dezember;12;187074,4;11453;61,22;25366,8;7114;280,45
13;2007;Januar;1;130218,7;18525;142,26;31751,9;10035;316,04
14;2007;Februar;2;113028,1;24262;214,65;57127,3;19096;334,27
15;2007;März;3;113885,2;24443;214,63;74455,5;24490;328,92
16;2007;April;4;86674,5;18972;218,89;73874,3;24117;326,46
17;2007;Mai;5;81565,5;19561;239,82;100169,1;35587;355,27
18;2007;Juni;6;74189,5;16118;217,25;96186,1;35646;370,59
19;2007;Juli;7;153566,5;27310;177,84;65713,3;24313;369,99
20;2007;August;8;130219,7;16013;122,97;34857,3;13635;391,17
21;2007;September;9;282077,1;23285;82,55;19660,4;6700;340,79
22;2007;Oktober;10;181096,8;15481;85,48;14337,1;4995;348,40
23;2007;November;11;88491,2;10669;120,57;12121,4;5461;450,53
24;2007;Dezember;12;206769,2;14156;68,46;14920,1;5461;366,02
25;2008;Januar;1;137980,3;14713;106,63;22238,3;5640;253,62
26;2008;Februar;2;79736,4;10265;128,74;30829,5;7861;254,98
27;2008;März;3;105462,6;13632;129,26;60137;17652;293,53
28;2008;April;4;90596,3;12549;138,52;54036,4;16237;300,48
29;2008;Mai;5;84217,4;11179;132,74;64272,7;22680;352,87
30;2008;Juni;6;50522,7;8943;177,01;100453;39864;396,84
31;2008;Juli;7;134529,7;21607;160,61;95394,5;29156;305,64
32;2008;August;8;170576,4;20578;120,64;32625,3;8983;275,34
33;2008;September;9;149886,9;17734;118,32;59742,9;9440;158,01
34;2008;Oktober;10;243354;18642;76,60;11949,6;3207;268,38
35;2008;November;11;164985,9;14232;86,26;11873,9;3319;279,52
36;2008;Dezember;12;76863,1;10156;132,13;12508;4145;331,39
37;2009;Januar;1;189161;16629;87,91;21777,6;5452;250,35
38;2009;Februar;2;149392,5;17664;118,24;54572,4;12187;223,32
39;2009;März;3;113781,9;14056;123,53;81763;18728;229,05
40;2009;April;4;109949,6;16416;149,30;84685,9;23927;282,54
41;2009;Mai;5;101784,6;14584;143,28;71295,7;22606;317,07
42;2009;Juni;6;76840,2;10978;142,87;90809,2;26154;288,01
43;2009;Juli;7;142398;20039;140,73;79340;23495;296,13
44;2009;August;8;173164,7;15689;90,60;20821,8;4077;195,80
45;2009;September;9;189234,4;15262;80,65;14590;3428;234,96
46;2009;Oktober;10;162660;13530;83,18;12252,5;2721;222,08
47;2009;November;11;90462,4;8940;98,83;16300,2;4343;266,44
48;2009;Dezember;12;195582,2;14103;72,11;16039,9;4278;266,71
49;2010;Januar;1;144211,3;13697;94,98;18471,1;4078;220,78
50;2010;Februar;2;126874,6;12523;98,70;35967,2;8082;224,70
51;2010;März;3;116929,8;14458;123,65;70695,8;20813;294,40
52;2010;April;4;100698,3;12709;126,21;68054,5;22827;335,42
53;2010;Mai;5;75762,8;12849;169,60;111597,8;36864;330,33
54;2010;Juni;6;125061,7;17304;138,36;82439;28061;340,39
55;2010;Juli;7;103370,9;19085;184,63;65972,8;21945;332,64
56;2010;August;8;148237,6;22751;153,48;31260,3;8236;263,47
57;2010;September;9;191012;24312;127,28;16496;4384;265,76
58;2010;Oktober;10;191435,6;25116;131,20;11063,8;4420;399,50
