Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;0;0;0;0;0;0
2;2006;Februar;2;0;0;0;0;0;0
3;2006;März;3;0;0;0;0;0;0
4;2006;April;4;0;0;0;0;0;0
5;2006;Mai;5;0;0;0;0;0;0
6;2006;Juni;6;0;0;0;0;0;0
7;2006;Juli;7;0;0;0;0;0;0
8;2006;August;8;0;0;0;0;0;0
9;2006;September;9;0;0;0;0;0;0
10;2006;Oktober;10;0;0;0;0;0;0
11;2006;November;11;0;0;0;0;0;0
12;2006;Dezember;12;0;0;0;0;0;0
13;2007;Januar;1;0;0;0;0;0;0
14;2007;Februar;2;0;0;0;0;0;0
15;2007;März;3;0;0;0;0;0;0
16;2007;April;4;0;0;0;0;0;0
17;2007;Mai;5;0;0;0;0;0;0
18;2007;Juni;6;0;0;0;0;0;0
19;2007;Juli;7;0;0;0;0;0;0
20;2007;August;8;0;0;0;0;0;0
21;2007;September;9;0;0;0;0;0;0
22;2007;Oktober;10;0;0;0;0;0;0
23;2007;November;11;0;0;0;0;0;0
24;2007;Dezember;12;0;0;0;0;0;0
25;2008;Januar;1;0;0;0;0;0;0
26;2008;Februar;2;0;0;0;0;0;0
27;2008;März;3;0;0;0;0;0;0
28;2008;April;4;0;0;0;0;0;0
29;2008;Mai;5;0;0;0;0;0;0
30;2008;Juni;6;0;0;0;0;0;0
31;2008;Juli;7;0;0;0;0;0;0
32;2008;August;8;0;0;0;0;0;0
33;2008;September;9;0;0;0;0;0;0
34;2008;Oktober;10;0;0;0;0;0;0
35;2008;November;11;0;0;0;0;0;0
36;2008;Dezember;12;0;0;0;0;0;0
37;2009;Januar;1;0;0;0;0;0;0
38;2009;Februar;2;0;0;0;0;0;0
39;2009;März;3;0;0;0;0;0;0
40;2009;April;4;0;0;0;0;0;0
41;2009;Mai;5;0;0;0;0;0;0
42;2009;Juni;6;0;0;0;0;0;0
43;2009;Juli;7;0;0;0;0;0;0
44;2009;August;8;0;0;0;0;0;0
45;2009;September;9;0;0;0;0;0;0
46;2009;Oktober;10;0;0;0;0;0;0
47;2009;November;11;0;0;0;0;0;0
48;2009;Dezember;12;0;0;0;0;0;0
49;2010;Januar;1;0;0;0;0;0;0
50;2010;Februar;2;0;0;0;0;0;0
51;2010;März;3;0;0;0;0;0;0
52;2010;April;4;0;0;0;0;0;0
53;2010;Mai;5;0;0;0;0;0;0
54;2010;Juni;6;0;0;0;0;0;0
55;2010;Juli;7;0;0;0;0;0;0
56;2010;August;8;0;0;0;0;0;0
57;2010;September;9;0;0;0;0;0;0
58;2010;Oktober;10;0;0;0;0;0;0
59;2010;November;11;0;0;0;0;0;0
60;2010;Dezember;12;0;0;0;0;0;0
61;2011;Januar;1;0;0;0;0;0;0
62;2011;Februar;2;0;0;0;0;0;0
63;2011;März;3;0;0;0;0;0;0
64;2011;April;4;0;0;0;0;0;0
65;2011;Mai;5;0;0;0;0;0;0
66;2011;Juni;6;0;0;0;0;0;0
67;2011;Juli;7;0;0;0;0;0;0
68;2011;August;8;0;0;0;0;0;0
69;2011;September;9;0;0;0;0;0;0
70;2011;Oktober;10;0;0;0;0;0;0
71;2011;November;11;0;0;0;0;0;0
72;2011;Dezember;12;0;0;0;0;0;0
73;2012;Januar;1;10,1;13;1287,128713;13;1489;114538,4615
74;2012;Februar;2;12,2;19;1557,377049;19;736;38736,84211
75;2012;März;3;54,2;81;1494,464945;81;864;10666,66667
76;2012;April;4;349;310;888,252149;310;715;2306,451613
77;2012;Mai;5;522,9;333;636,8330465;333;662;1987,987988
78;2012;Juni;6;439,8;273;620,7366985;273;444;1626,373626
79;2012;Juli;7;235,5;183;777,0700637;183;756;4131,147541
80;2012;August;8;393,2;331;841,8107833;331;563;1700,906344
81;2012;September;9;313,5;271;864,4338118;271;498;1837,638376
82;2012;Oktober;10;715,6;418;584,1252096;418;775;1854,066986
83;2012;November;11;210,2;119;566,1274976;119;713;5991,596639
84;2012;Dezember;12;38,1;83;2178,47769;83;1011;12180,72289
85;2013;Januar;1;115,6;182;1574,394464;182;1596;8769,230769
86;2013;Februar;2;96,4;155;1607,883817;155;1038;6696,774194
87;2013;März;3;116,1;195;1679,586563;195;1153;5912,820513
88;2013;April;4;217,9;295;1353,832033;295;906;3071,186441
89;2013;Mai;5;852;600;704,2253521;600;986;1643,333333
90;2013;Juni;6;343,7;234;680,826302;234;848;3623,931624
91;2013;Juli;7;42;78;1857,142857;78;740;9487,179487
92;2013;August;8;381,2;259;679,4333683;259;753;2907,335907
93;2013;September;9;616;456;740,2597403;456;583;1278,508772
94;2013;Oktober;10;879,1;624;709,8168582;624;925;1482,371795
95;2013;November;11;101,9;79;775,2698724;79;1073;13582,27848
96;2013;Dezember;12;70,2;164;2336,182336;164;1789;10908,53659
97;2014;Januar;1;83,5;105;1257,48503;105;1715;16333,33333
98;2014;Februar;2;109,4;158;1444,241316;158;1385;8765,822785
99;2014;März;3;115;247;2147,826087;247;978;3959,51417
100;2014;April;4;221,4;264;1192,411924;264;1053;3988,636364
101;2014;Mai;5;272,5;241;884,4036697;241;755;3132,780083
102;2014;Juni;6;250,4;209;834,6645367;209;817;3909,090909
103;2014;Juli;7;22,3;63;2825,112108;63;700;11111,11111
104;2014;August;8;203,1;170;837,0260955;170;645;3794,117647
105;2014;September;9;300,4;293;975,3661784;293;618;2109,215017
