Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;11,3;17;1504,42;545,1;720;1320,86
2;2006;Februar;2;36,6;53;1448,09;618,1;845;1367,09
3;2006;März;3;42,3;50;1182,03;606,6;801;1320,47
4;2006;April;4;525,6;94;178,84;745,6;911;1221,83
5;2006;Mai;5;556,4;84;150,97;364,1;458;1257,90
6;2006;Juni;6;3403,8;284;83,44;229,5;282;1228,76
7;2006;Juli;7;228,7;100;437,25;112;120;1071,43
8;2006;August;8;57,9;45;777,20;186;189;1016,13
9;2006;September;9;41,2;50;1213,59;103,6;116;1119,69
10;2006;Oktober;10;391;132;337,60;128,8;168;1304,35
11;2006;November;11;567,1;69;121,67;343,6;437;1271,83
12;2006;Dezember;12;505,2;82;162,31;631,4;850;1346,21
13;2007;Januar;1;211,5;80;378,25;478,5;674;1408,57
14;2007;Februar;2;222,6;104;467,21;519,2;637;1226,89
15;2007;März;3;93,6;86;918,80;464,3;557;1199,66
16;2007;April;4;428,8;185;431,44;461,5;544;1178,76
17;2007;Mai;5;1593,8;260;163,13;860,2;389;452,22
18;2007;Juni;6;3001,1;292;97,30;826,5;342;413,79
19;2007;Juli;7;104,6;128;1223,71;275,7;315;1142,55
20;2007;August;8;80,1;88;1098,63;343,3;343;999,13
21;2007;September;9;41,1;45;1094,89;170,8;216;1264,64
22;2007;Oktober;10;362,5;83;228,97;281,7;338;1199,86
23;2007;November;11;112,5;136;1208,89;340,9;434;1273,10
24;2007;Dezember;12;285,3;81;283,91;778,9;962;1235,08
25;2008;Januar;1;34,4;54;1569,77;689,6;821;1190,55
26;2008;Februar;2;100,2;99;988,02;799,7;925;1156,68
27;2008;März;3;37,6;51;1356,38;1187,4;1273;1072,09
28;2008;April;4;29,7;41;1380,47;699,4;840;1201,03
29;2008;Mai;5;680,2;166;244,05;482;475;985,48
30;2008;Juni;6;1498,8;256;170,80;1349,6;513;380,11
31;2008;Juli;7;79,8;101;1265,66;567,8;493;868,26
32;2008;August;8;53,4;64;1198,50;2885,6;434;150,40
33;2008;September;9;63,7;75;1177,39;91,5;92;1005,46
34;2008;Oktober;10;208;115;552,88;158,9;128;805,54
35;2008;November;11;82,9;128;1544,03;235,3;226;960,48
36;2008;Dezember;12;52,8;129;2443,18;488;615;1260,25
37;2009;Januar;1;48,5;103;2123,71;643,2;936;1455,22
38;2009;Februar;2;57,6;131;2274,31;915,7;1022;1116,09
39;2009;März;3;34,5;41;1188,41;1163;1192;1024,94
40;2009;April;4;174,1;135;775,42;1090,4;1136;1041,82
41;2009;Mai;5;2451,6;510;208,03;489,5;420;858,02
42;2009;Juni;6;85,8;100;1165,50;252,9;224;885,73
43;2009;Juli;7;105,7;68;643,33;264,1;251;950,40
44;2009;August;8;129;96;744,19;128,9;123;954,23
45;2009;September;9;189,8;87;458,38;187,4;201;1072,57
46;2009;Oktober;10;787,2;247;313,77;134,8;161;1194,36
47;2009;November;11;30,3;39;1287,13;221,7;270;1217,86
48;2009;Dezember;12;53,7;92;1713,22;693,7;823;1186,39
49;2010;Januar;1;71;122;1718,31;664,1;764;1150,43
50;2010;Februar;2;89;150;1685,39;926,2;1019;1100,19
51;2010;März;3;103,1;173;1677,98;1199,6;1270;1058,69
52;2010;April;4;61,3;66;1076,67;646,6;730;1128,98
53;2010;Mai;5;686,7;177;257,75;458,6;554;1208,02
54;2010;Juni;6;2686,6;360;134,00;330,6;329;995,16
55;2010;Juli;7;37,2;45;1209,68;353,3;356;1007,64
56;2010;August;8;398,2;106;266,20;158,8;211;1328,72
57;2010;September;9;65,7;71;1080,67;253,9;283;1114,61
58;2010;Oktober;10;76,3;84;1100,92;310,5;343;1104,67
59;2010;November;11;26;33;1269,23;625,7;687;1097,97
60;2010;Dezember;12;115,8;141;1217,62;698;807;1156,16
61;2011;Januar;1;142,9;208;1455,56;953,6;1108;1161,91
62;2011;Februar;2;104,7;183;1747,85;1009,7;1305;1292,46
63;2011;März;3;74;110;1486,49;748,9;1020;1362,00
64;2011;April;4;757,5;131;172,94;1288,8;1093;848,08
65;2011;Mai;5;893,7;149;166,72;2859,7;794;277,65
66;2011;Juni;6;1550,3;206;132,88;4670,7;691;147,94
67;2011;Juli;7;227,5;139;610,99;1596,1;442;276,93
68;2011;August;8;85,7;89;1038,51;1693,4;338;199,60
69;2011;September;9;1786;452;253,08;1372,5;354;257,92
70;2011;Oktober;10;56;61;1089,29;1473,8;445;301,94
71;2011;November;11;44,5;50;1123,60;496,7;496;998,59
72;2011;Dezember;12;92,3;155;1679,31;863,6;1198;1387,22
73;2012;Januar;1;105,2;177;1682,51;751,6;1159;1542,04
74;2012;Februar;2;104,7;170;1623,69;754,2;1178;1561,92
75;2012;März;3;84,8;133;1568,40;929,8;1432;1540,12
76;2012;April;4;139,2;147;1056,03;2005;1534;765,09
77;2012;Mai;5;1157,5;420;362,85;1935,8;799;412,75
78;2012;Juni;6;526,5;332;630,58;4540,1;868;191,19
79;2012;Juli;7;1884,9;449;238,21;1381,8;425;307,57
80;2012;August;8;241,9;291;1202,98;2998,3;543;181,10
81;2012;September;9;188,8;228;1207,63;947;254;268,22
82;2012;Oktober;10;410,3;549;1338,05;260,2;318;1222,14
83;2012;November;11;354,1;136;384,07;348,3;537;1541,77
84;2012;Dezember;12;112;174;1553,57;803,6;1364;1697,36
85;2013;Januar;1;143,2;203;1417,60;694,2;1279;1842,41
86;2013;Februar;2;92,7;163;1758,36;875;1513;1729,14
87;2013;März;3;74,7;108;1445,78;1033,3;1726;1670,38
88;2013;April;4;129,5;187;1444,02;870,9;1318;1513,38
89;2013;Mai;5;739,3;220;297,58;1993;975;489,21
90;2013;Juni;6;1241;254;204,67;3523,5;904;256,56
91;2013;Juli;7;1752,9;410;233,90;1005,3;487;484,43
92;2013;August;8;151;192;1271,52;2534,8;603;237,89
93;2013;September;9;88,6;120;1354,40;493,4;380;770,17
94;2013;Oktober;10;422,6;156;369,14;2076,2;717;345,34
95;2013;November;11;56,8;95;1672,54;717,7;859;1196,88
96;2013;Dezember;12;73,3;138;1882,67;815,5;1440;1765,79
97;2014;Januar;1;98,2;163;1659,88;772,8;1550;2005,69
98;2014;Februar;2;94,8;135;1424,05;1062,8;1951;1835,72
