Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;0,4;6;15000,00;13,1;193;14732,82
2;2006;Februar;2;0,5;7;14000,00;5,6;95;16964,29
3;2006;März;3;5,4;52;9629,63;4,3;75;17441,86
4;2006;April;4;0,5;4;8000,00;4,7;72;15319,15
5;2006;Mai;5;0,2;3;15000,00;3,3;54;16363,64
6;2006;Juni;6;0,7;9;12857,14;1,7;21;12352,94
7;2006;Juli;7;1;14;14000,00;2,5;28;11200,00
8;2006;August;8;4,3;44;10232,56;39,1;282;7212,28
9;2006;September;9;3,7;31;8378,38;74,1;545;7354,93
10;2006;Oktober;10;2,7;32;11851,85;41,9;448;10692,12
11;2006;November;11;2,3;20;8695,65;39,1;375;9590,79
12;2006;Dezember;12;0,9;10;11111,11;29;215;7413,79
13;2007;Januar;1;0,3;6;20000,00;6,1;108;17704,92
14;2007;Februar;2;0,1;2;20000,00;6,4;101;15781,25
15;2007;März;3;0,3;4;13333,33;5,1;97;19019,61
16;2007;April;4;0,5;5;10000,00;8,6;149;17325,58
17;2007;Mai;5;6,2;22;3548,39;2,1;20;9523,81
18;2007;Juni;6;1,5;17;11333,33;5,9;53;8983,05
19;2007;Juli;7;3,4;43;12647,06;28,8;182;6319,44
20;2007;August;8;3,3;40;12121,21;24,1;201;8340,25
21;2007;September;9;4;62;15500,00;34,2;326;9532,16
22;2007;Oktober;10;2,5;39;15600,00;33,8;358;10591,72
23;2007;November;11;1,9;22;11578,95;21,6;270;12500,00
24;2007;Dezember;12;0,4;5;12500,00;46,6;328;7038,63
25;2008;Januar;1;1,3;19;14615,38;33,4;471;14101,80
26;2008;Februar;2;0,3;4;13333,33;2,8;48;17142,86
27;2008;März;3;0,2;3;15000,00;3,5;55;15714,29
28;2008;April;4;0,2;6;30000,00;7,2;123;17083,33
29;2008;Mai;5;0,5;6;12000,00;3,3;43;13030,30
30;2008;Juni;6;1,8;15;8333,33;7,9;84;10632,91
31;2008;Juli;7;6,5;45;6923,08;16,6;154;9277,11
32;2008;August;8;4,4;59;13409,09;21,9;241;11004,57
33;2008;September;9;3,6;42;11666,67;38,9;381;9794,34
34;2008;Oktober;10;5,6;63;11250,00;61;789;12934,43
35;2008;November;11;2,3;24;10434,78;83,1;811;9759,33
36;2008;Dezember;12;2;32;16000,00;27,6;233;8442,03
37;2009;Januar;1;1,1;9;8181,82;8;152;19000,00
38;2009;Februar;2;1,5;10;6666,67;3,5;54;15428,57
39;2009;März;3;0,1;1;10000,00;4,8;55;11458,33
40;2009;April;4;0,8;5;6250,00;2;25;12500,00
41;2009;Mai;5;0,4;3;7500,00;1,4;15;10714,29
42;2009;Juni;6;0,5;5;10000,00;8,8;95;10795,45
43;2009;Juli;7;1,9;28;14736,84;35,9;302;8412,26
44;2009;August;8;3,8;45;11842,11;50,3;366;7276,34
45;2009;September;9;4;46;11500,00;23,8;315;13235,29
46;2009;Oktober;10;2;23;11500,00;57;656;11508,77
47;2009;November;11;2,2;24;10909,09;24,1;254;10539,42
48;2009;Dezember;12;0,3;4;13333,33;7,9;106;13417,72
49;2010;Januar;1;0,5;3;6000,00;12,5;165;13200,00
50;2010;Februar;2;0,5;4;8000,00;3,7;53;14324,32
51;2010;März;3;0,5;3;6000,00;6,1;92;15081,97
52;2010;April;4;0,1;1;10000,00;2,6;48;18461,54
53;2010;Mai;5;0,7;6;8571,43;8;136;17000,00
54;2010;Juni;6;0,3;7;23333,33;3,3;23;6969,70
55;2010;Juli;7;17,6;104;5909,09;8,3;84;10120,48
56;2010;August;8;8,9;114;12808,99;62,1;584;9404,19
57;2010;September;9;14,7;161;10952,38;118,9;1017;8553,41
58;2010;Oktober;10;10,3;142;13786,41;125,8;1076;8553,26
59;2010;November;11;6;84;14000,00;70,6;744;10538,24
60;2010;Dezember;12;0,8;15;18750,00;20,5;204;9951,22
61;2011;Januar;1;12,8;164;12812,50;115;988;8591,30
62;2011;Februar;2;0,1;1;10000,00;10,5;33;3142,86
63;2011;März;3;0,2;2;10000,00;16,1;89;5527,95
64;2011;April;4;0,5;7;14000,00;3,5;60;17142,86
65;2011;Mai;5;0,5;8;16000,00;22,1;265;11990,95
66;2011;Juni;6;1,6;23;14375,00;13,5;179;13259,26
67;2011;Juli;7;4,2;61;14523,81;14;141;10071,43
68;2011;August;8;13,5;161;11925,93;55,7;490;8797,13
69;2011;September;9;5,1;79;15490,20;31,9;378;11849,53
70;2011;Oktober;10;3,9;64;16410,26;42,1;507;12042,76
71;2011;November;11;0,2;3;15000,00;11,4;167;14649,12
72;2011;Dezember;12;1,1;15;13636,36;7,9;111;14050,63
73;2012;Januar;1;0,4;5;12500,00;9,1;146;16043,96
74;2012;Februar;2;0,2;2;10000,00;11,2;187;16696,43
75;2012;März;3;0,3;4;13333,33;2,8;43;15357,14
76;2012;April;4;0,1;2;20000,00;6,2;105;16935,48
77;2012;Mai;5;0,2;4;20000,00;7,4;112;15135,14
78;2012;Juni;6;1,2;18;15000,00;10,8;114;10555,56
79;2012;Juli;7;2,6;39;15000,00;6,9;79;11449,28
80;2012;August;8;3,5;51;14571,43;30,1;317;10531,56
81;2012;September;9;4;64;16000,00;58,3;613;10514,58
82;2012;Oktober;10;6,2;97;15645,16;70,4;830;11789,77
83;2012;November;11;3,4;49;14411,76;42,3;553;13073,29
84;2012;Dezember;12;2,3;31;13478,26;30,9;466;15080,91
85;2013;Januar;1;0,2;2;10000,00;10,1;159;15742,57
86;2013;Februar;2;0,3;3;10000,00;14,3;166;11608,39
87;2013;März;3;0,3;5;16666,67;4,1;53;12926,83
88;2013;April;4;0,2;3;15000,00;13,8;194;14057,97
89;2013;Mai;5;0,1;2;20000,00;6,8;115;16911,76
90;2013;Juni;6;1,4;18;12857,14;8,5;106;12470,59
91;2013;Juli;7;1,5;22;14666,67;28,1;272;9679,72
92;2013;August;8;4,1;45;10975,61;36,5;260;7123,29
93;2013;September;9;15,8;205;12974,68;128,5;865;6731,52
94;2013;Oktober;10;11,1;149;13423,42;100;881;8810,00
95;2013;November;11;1,1;13;11818,18;21,4;275;12850,47
96;2013;Dezember;12;27;399;14777,78;97,1;1257;12945,42
97;2014;Januar;1;1,7;16;9411,76;20,2;300;14851,49
98;2014;Februar;2;0,6;5;8333,33;1,5;15;10000,00
99;2014;März;3;0,5;6;12000,00;4,5;66;14666,67
100;2014;April;4;0,3;4;13333,33;3,8;33;8684,21
101;2014;Mai;5;0,1;2;20000,00;5,8;102;17586,21
102;2014;Juni;6;0,4;7;17500,00;3,6;57;15833,33
103;2014;Juli;7;1,3;22;16923,08;17,1;173;10116,96
104;2014;August;8;5,4;79;14629,63;53,7;497;9255,12
105;2014;September;9;11,4;161;14122,81;87,3;893;10229,10
106;2014;Oktober;10;11,6;184;15862,07;143;1308;9146,85
107;2014;November;11;2,6;46;17692,31;41,1;425;10340,63
108;2014;Dezember;12;0,1;3;30000,00;12,1;215;17768,60
109;2015;Januar;1;1,6;31;19375,00;3,3;31;9393,94
110;2015;Februar;2;0,2;4;20000,00;11,1;186;16756,76
111;2015;März;3;0,8;19;23750,00;7,1;114;16056,34
112;2015;April;4;1,1;30;27272,73;5,5;50;9090,91
