Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;2259,1;2358;1043,78;43560,4;48478;1112,89
2;2006;Februar;2;5246;4960;945,48;59859,4;65882;1100,61
3;2006;März;3;3621,5;3405;940,22;51906,7;59844;1152,91
4;2006;April;4;2631,7;2858;1085,99;60721,6;76546;1260,61
5;2006;Mai;5;4429;5416;1222,85;67153,4;89797;1337,19
6;2006;Juni;6;2974,2;3607;1212,76;78501,9;91028;1159,56
7;2006;Juli;7;3798,2;3794;998,89;69565,2;77909;1119,94
8;2006;August;8;4458,7;5486;1230,40;71678,1;79963;1115,58
9;2006;September;9;2714,2;3466;1276,99;56291;72102;1280,88
10;2006;Oktober;10;2176,2;2665;1224,61;52851,8;70236;1328,92
11;2006;November;11;3697,2;3302;893,11;52076,3;60025;1152,64
12;2006;Dezember;12;3696,9;4049;1095,24;53546,6;64171;1198,41
13;2007;Januar;1;2492,1;3748;1503,95;49772,5;71087;1428,24
14;2007;Februar;2;3052,1;3549;1162,81;40898,9;61769;1510,29
15;2007;März;3;2605,8;3644;1398,42;58277,6;84191;1444,65
16;2007;April;4;2990,2;4952;1656,08;62307;102094;1638,56
17;2007;Mai;5;4150,6;5722;1378,60;69343,9;95074;1371,05
18;2007;Juni;6;3937,1;3901;990,83;71594;78437;1095,58
19;2007;Juli;7;3454,8;3942;1141,02;75183,8;84203;1119,96
20;2007;August;8;4417,7;4267;965,89;64551,4;75928;1176,24
21;2007;September;9;4688,2;5949;1268,93;55798,4;67580;1211,15
22;2007;Oktober;10;2686;3542;1318,69;58740,1;81848;1393,39
23;2007;November;11;3589,3;4873;1357,65;49201,4;72038;1464,15
24;2007;Dezember;12;1853,1;3118;1682,59;49144;77520;1577,41
25;2008;Januar;1;3241,2;4591;1416,45;50816,4;78332;1541,47
26;2008;Februar;2;2755,9;3339;1211,58;50346,7;70147;1393,28
27;2008;März;3;3457,4;4613;1334,24;57998,1;80364;1385,63
28;2008;April;4;3262;4158;1274,68;61885,8;84778;1369,91
29;2008;Mai;5;3584,4;4186;1167,84;77256,3;101270;1310,83
30;2008;Juni;6;4954,5;5723;1155,11;70421,9;83234;1181,93
31;2008;Juli;7;3968,1;4752;1197,55;76909,4;91407;1188,50
32;2008;August;8;3016,2;3049;1010,87;52160,4;60660;1162,95
33;2008;September;9;4459,5;4953;1110,66;52446,6;62616;1193,90
34;2008;Oktober;10;2451,5;4022;1640,63;46483,5;62834;1351,75
35;2008;November;11;2857,3;3935;1377,17;48859,2;72841;1490,83
36;2008;Dezember;12;2386,5;3591;1504,71;49773;76181;1530,57
37;2009;Januar;1;2404,7;3753;1560,69;46696,9;74012;1584,94
38;2009;Februar;2;2442,2;3392;1388,91;46533,9;65546;1408,56
39;2009;März;3;2993,4;4022;1343,62;52770,3;77354;1465,86
40;2009;April;4;3328,1;5023;1509,27;66398,6;107120;1613,29
41;2009;Mai;5;3711,5;5539;1492,39;69570,9;100994;1451,67
42;2009;Juni;6;3350,9;3230;963,92;65653,9;73132;1113,90
43;2009;Juli;7;3179,5;2732;859,25;77247,8;74533;964,86
44;2009;August;8;2283,5;2080;910,88;60491,1;60494;1000,05
