Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
1;2006;Januar;1;5959,2;1052;176,53;13605;5032;369,86
2;2006;Februar;2;7175,4;1261;175,74;14349,3;4907;341,97
3;2006;März;3;6188,6;1236;199,72;15139,9;5387;355,81
4;2006;April;4;6735,9;1233;183,05;27984,7;10353;369,95
5;2006;Mai;5;4080,5;1423;348,73;36793,7;13850;376,42
6;2006;Juni;6;3100,7;1722;555,36;40581,3;17581;433,23
7;2006;Juli;7;4526,2;2538;560,74;21491,9;8158;379,58
8;2006;August;8;5506,3;2946;535,02;21541,5;8593;398,90
9;2006;September;9;3309,9;1352;408,47;25600,9;10618;414,75
10;2006;Oktober;10;4360;1430;327,98;15471,6;5681;367,19
11;2006;November;11;4876,7;1315;269,65;18360,6;6688;364,26
12;2006;Dezember;12;5565,5;1941;348,76;14494;6930;478,13
13;2007;Januar;1;3984,6;1234;309,69;14530,5;7132;490,83
14;2007;Februar;2;8891,7;2625;295,22;21643,2;10500;485,14
15;2007;März;3;8418;3449;409,72;22079,5;13022;589,78
16;2007;April;4;4634,2;2070;446,68;28994;15000;517,35
17;2007;Mai;5;6509,5;3505;538,44;27872,1;17231;618,22
18;2007;Juni;6;3726,5;2493;668,99;28362,5;16648;586,97
19;2007;Juli;7;13397,3;6525;487,04;31159,6;15868;509,25
20;2007;August;8;2139;1154;539,50;23618,3;12210;516,97
21;2007;September;9;4313,2;1123;260,36;16478,4;7872;477,72
22;2007;Oktober;10;6932,2;2127;306,83;16585,1;6109;368,34
23;2007;November;11;9420,5;2448;259,86;14410,9;4979;345,50
24;2007;Dezember;12;6830,5;1616;236,59;18104,3;6092;336,49
25;2008;Januar;1;6668;1429;214,31;17281,1;5818;336,67
26;2008;Februar;2;8023,6;1716;213,87;12302,6;5239;425,84
27;2008;März;3;8031,3;1764;219,64;22421,4;7543;336,42
28;2008;April;4;8125,6;2347;288,84;29637,2;11068;373,45
29;2008;Mai;5;10707,6;4280;399,72;38868,8;15601;401,38
30;2008;Juni;6;4113,6;2601;632,29;29265;12475;426,28
31;2008;Juli;7;4182,4;1823;435,87;16909,5;7441;440,05
32;2008;August;8;1415,6;532;375,81;22565,4;8022;355,50
