Order;Jahr;Month nr;Monat;Date Text;Ausfuhr: Gewicht;Ausfuhr: Wert €;Ausfuhr: Wert $;Einfuhr: Gewicht;Einfuhr: Wert €;Einfuhr: Wert $;Ausfuhr: Wert €/Gewicht;Einfuhr: Wert €/Gewicht;Ausfuhr: Wert $/Gewicht;Einfuhr: Wert $/Gewicht
0;2008;1;Januar;Januar 2008;156,6;556;818;1073;3492;5138;3550,45;3254,43;5223,50;4788,44
1;2008;2;Februar;Februar 2008;183,3;552;812;4187,4;11563;17053;3011,46;2761,38;4429,90;4072,46
2;2008;3;März;März 2008;929,7;2212;3436;9945,9;20528;31872;2379,26;2063,97;3695,82;3204,54
3;2008;4;April;April 2008;946,1;2097;3302;25397,8;49206;77503;2216,47;1937,41;3490,12;3051,56
4;2008;5;Mai;Mai 2008;1169,5;2507;3902;23498,2;48179;74948;2143,65;2050,33;3336,47;3189,52
5;2008;6;Juni;Juni 2008;4402,2;9462;14714;16478,7;27225;42342;2149,38;1652,13;3342,42;2569,50
6;2008;7;Juli;Juli 2008;1903,6;4325;6821;5110,1;9367;14771;2272,01;1833,04;3583,21;2890,55
7;2008;8;August;August 2008;724,5;1818;2722;1208,1;2860;4282;2509,32;2367,35;3757,07;3544,41
8;2008;9;September;September 2008;946,2;2285;3285;1543,2;3082;4429;2414,92;1997,15;3471,78;2870,01
9;2008;10;Oktober;Oktober 2008;119,4;401;536;713,2;1844;2457;3358,46;2585,53;4489,11;3445,04
10;2008;11;November;November 2008;67,7;245;313;476;1779;2265;3618,91;3737,39;4623,34;4758,40
11;2008;12;Dezember;Dezember 2008;145,7;692;928;1744;3752;5047;4749,49;2151,38;6369,25;2893,92
12;2009;1;Januar;Januar 2009;241,3;977;1294;1251,9;4081;5402;4048,90;3259,85;5362,62;4315,04
13;2009;2;Februar;Februar 2009;203,4;620;790;3900;9669;12363;3048,18;2479,23;3883,97;3170,00
14;2009;3;März;März 2009;603,1;1391;1809;12151;22275;29068;2306,42;1833,18;2999,50;2392,23
15;2009;4;April;April 2009;1649,9;3237;4272;37053,2;64311;84828;1961,94;1735,64;2589,25;2289,36
16;2009;5;Mai;Mai 2009;1900,7;4008;5471;32753,4;57504;78495;2108,70;1755,67;2878,41;2396,55
17;2009;6;Juni;Juni 2009;4458,2;9824;13771;13538;18288;25633;2203,58;1350,86;3088,91;1893,41
18;2009;7;Juli;Juli 2009;3502,7;7923;11162;4315,3;4876;6868;2261,97;1129,93;3186,68;1591,55
19;2009;8;August;August 2009;683,9;1739;2486;1151,4;2924;4169;2542,77;2539,52;3635,03;3620,81
20;2009;9;September;September 2009;300,6;853;1243;561,3;1522;2217;2837,66;2711,56;4135,06;3949,76
21;2009;10;Oktober;Oktober 2009;226,8;653;967;900,5;2682;3973;2879,19;2978,35;4263,67;4411,99
22;2009;11;November;November 2009;95;411;616;683,2;2276;3396;4326,32;3331,38;6484,21;4970,73
23;2009;12;Dezember;Dezember 2009;260,8;1169;1711;988,8;3209;4691;4482,36;3245,35;6560,58;4744,13
24;2010;1;Januar;Januar 2010;424,7;1285;1833;1502,9;3546;5059;3025,67;2359,44;4315,99;3366,16
25;2010;2;Februar;Februar 2010;283,7;641;876;3500,9;7890;10798;2259,43;2253,71;3087,77;3084,35
26;2010;3;März;März 2010;733,3;1959;2660;11662,7;25324;34362;2671,49;2171,37;3627,44;2946,32
27;2010;4;April;April 2010;1120;2233;2997;27678,8;46427;62242;1993,75;1677,35;2675,89;2248,72
28;2010;5;Mai;Mai 2010;878,7;2163;2714;36576,2;72048;90526;2461,59;1969,81;3088,65;2475,00
29;2010;6;Juni;Juni 2010;4636,4;10555;12886;14608,5;22576;27564;2276,55;1545,40;2779,31;1886,85
30;2010;7;Juli;Juli 2010;2222,1;4279;5461;4153;6037;7709;1925,66;1453,65;2457,59;1856,25
31;2010;8;August;August 2010;998;2239;2887;1104,2;2713;3499;2243,49;2456,98;2892,79;3168,81
32;2010;9;September;September 2010;345,6;786;1027;553,1;1358;1778;2274,31;2455,25;2971,64;3214,61
33;2010;10;Oktober;Oktober 2010;145,5;389;540;909,7;2285;3174;2673,54;2511,82;3711,34;3489,06
34;2010;11;November;November 2010;77,4;229;313;703;2427;3314;2958,66;3452,35;4043,93;4714,08
35;2010;12;Dezember;Dezember 2010;310;1566;2069;1038,4;3905;5162;5051,61;3760,59;6674,19;4971,11
36;2011;1;Januar;Januar 2011;198,1;730;976;1239,5;3571;4772;3685,01;2881,00;4926,80;3849,94
37;2011;2;Februar;Februar 2011;415,7;1199;1635;5419,6;13409;18301;2884,29;2474,17;3933,12;3376,82
38;2011;3;März;März 2011;616,9;1613;2261;14190,4;30479;42666;2614,69;2147,86;3665,10;3006,68
39;2011;4;April;April 2011;1437,6;3261;4713;32546,1;63458;91647;2268,36;1949,79;3278,38;2815,91
40;2011;5;Mai;Mai 2011;1948,9;4222;6059;28761,6;48266;69255;2166,35;1678,14;3108,93;2407,90
41;2011;6;Juni;Juni 2011;2872;7037;10126;15013,4;22798;32799;2450,21;1518,51;3525,77;2184,65
42;2011;7;Juli;Juli 2011;2724,6;6838;9749;1502,4;2927;4176;2509,73;1948,22;3578,14;2779,55
