Order;Jahr;Month nr;Monat;Date Text;Ausfuhr: Gewicht;Ausfuhr: Wert €;Ausfuhr: Wert $;Einfuhr: Gewicht;Einfuhr: Wert €;Einfuhr: Wert $;Ausfuhr: Wert €/Gewicht;Einfuhr: Wert €/Gewicht;Ausfuhr: Wert $/Gewicht;Einfuhr: Wert $/Gewicht
0;2008;1;Januar;Januar 2008;4282;2995;4410;84647,5;43570;64126;699,44;514,72;1029,89;757,57
1;2008;2;Februar;Februar 2008;3733,7;2565;3781;77574,9;44087;65021;686,99;568,32;1012,67;838,17
2;2008;3;März;März 2008;2392,6;1812;2810;56959,4;35530;55167;757,34;623,78;1174,45;968,53
3;2008;4;April;April 2008;3080,3;2304;3630;75610,9;43555;68603;747,98;576,04;1178,46;907,32
4;2008;5;Mai;Mai 2008;2046,4;1492;2324;34745,8;22717;35343;729,09;653,81;1135,65;1017,19
5;2008;6;Juni;Juni 2008;1335,4;1146;1785;51258,3;26717;41551;858,17;521,22;1336,68;810,62
6;2008;7;Juli;Juli 2008;2803,2;2086;3290;14622,6;10804;17038;744,15;738,86;1173,66;1165,18
7;2008;8;August;August 2008;1983,1;1640;2457;18054,5;11197;16770;826,99;620,18;1238,97;928,85
8;2008;9;September;September 2008;2999,7;2070;2978;20583;11786;16938;690,07;572,61;992,77;822,91
9;2008;10;Oktober;Oktober 2008;4521,7;3024;4024;25784,8;13319;17744;668,78;516,54;889,93;688,16
10;2008;11;November;November 2008;3441;2195;2798;38027,2;20792;26471;637,90;546,77;813,14;696,11
11;2008;12;Dezember;Dezember 2008;3988,7;2463;3310;62251,3;33706;45330;617,49;541,45;829,84;728,18
12;2009;1;Januar;Januar 2009;3930;2169;2870;89149,8;48001;63550;551,91;538,43;730,28;712,85
13;2009;2;Februar;Februar 2009;3817,5;2506;3205;72272,8;40059;51219;656,45;554,27;839,55;708,69
14;2009;3;März;März 2009;4207,7;2632;3437;77020,4;40751;53176;625,52;529,09;816,84;690,41
15;2009;4;April;April 2009;3624,6;2564;3383;48197,1;27516;36294;707,39;570,91;933,34;753,03
16;2009;5;Mai;Mai 2009;1836,2;1253;1710;38449,4;20475;27949;682,39;532,52;931,27;726,90
17;2009;6;Juni;Juni 2009;1737,3;1141;1598;21678,5;11889;16667;656,77;548,42;919,82;768,83
18;2009;7;Juli;Juli 2009;1006,6;656;928;12175,1;7136;10052;651,70;586,11;921,92;825,62
