Order;Jahr;Month nr;Monat;Date Text;Ausfuhr: Gewicht;Ausfuhr: Wert €;Ausfuhr: Wert $;Einfuhr: Gewicht;Einfuhr: Wert €;Einfuhr: Wert $;Ausfuhr: Wert €/Gewicht;Einfuhr: Wert €/Gewicht;Ausfuhr: Wert $/Gewicht;Einfuhr: Wert $/Gewicht
0;2008;1;Januar;Januar 2008;137980,2;14717;21655;22238,4;5640;8304;106,66;253,62;156,94;373,41
1;2008;2;Februar;Februar 2008;79736,3;10265;15136;30829,4;7862;11591;128,74;255,02;189,83;375,97
2;2008;3;März;März 2008;105462,2;13634;21169;60136,8;17652;27407;129,28;293,53;200,73;455,74
3;2008;4;April;April 2008;90596,5;12552;19767;54036,5;16239;25572;138,55;300,52;218,19;473,24
4;2008;5;Mai;Mai 2008;84217,2;11182;17394;64272,9;22679;35284;132,78;352,85;206,54;548,97
5;2008;6;Juni;Juni 2008;50522,8;8942;13908;100453,4;39863;61999;176,99;396,83;275,28;617,19
6;2008;7;Juli;Juli 2008;134529,9;21611;34073;95394,7;29159;45979;160,64;305,67;253,27;481,99
7;2008;8;August;August 2008;170576,2;20578;30817;32625,4;8983;13452;120,64;275,34;180,66;412,32
8;2008;9;September;September 2008;149886,8;17737;25484;59742,8;9441;13567;118,34;158,03;170,02;227,09
9;2008;10;Oktober;Oktober 2008;243353,9;18644;24835;11949,5;3209;4274;76,61;268,55;102,05;357,67
10;2008;11;November;November 2008;164986,1;14233;18120;11874;3320;4228;86,27;279,60;109,83;356,07
11;2008;12;Dezember;Dezember 2008;76863,3;10158;13659;12508;4145;5574;132,16;331,39;177,71;445,63
12;2009;1;Januar;Januar 2009;189161,1;16629;22013;21777,7;5450;7214;87,91;250,26;116,37;331,26
13;2009;2;Februar;Februar 2009;149392,5;17665;22585;54572,1;12184;15581;118,25;223,26;151,18;285,51
14;2009;3;März;März 2009;113782,2;14054;18342;81763,1;18727;24440;123,52;229,04;161,20;298,91
15;2009;4;April;April 2009;109949,7;16414;21649;84685,7;23927;31559;149,29;282,54;196,90;372,66
16;2009;5;Mai;Mai 2009;101784,8;14583;19907;71295,9;22604;30857;143,27;317,04;195,58;432,80
17;2009;6;Juni;Juni 2009;76840;10977;15386;90808,9;26153;36657;142,86;288,00;200,23;403,67
18;2009;7;Juli;Juli 2009;142397,8;20040;28233;79339,8;23495;33098;140,73;296,13;198,27;417,17
19;2009;8;August;August 2009;173164,9;15690;22388;20821,7;4076;5818;90,61;195,76;129,29;279,42
20;2009;9;September;September 2009;189234,3;15260;22226;14590;3427;4994;80,64;234,89;117,45;342,29
21;2009;10;Oktober;Oktober 2009;162659,9;13530;20043;12252,3;2721;4031;83,18;222,08;123,22;329,00
22;2009;11;November;November 2009;90462,5;8941;13332;16300,2;4345;6478;98,84;266,56;147,38;397,42
23;2009;12;Dezember;Dezember 2009;195581,9;14103;20609;16040;4277;6250;72,11;266,65;105,37;389,65
