Order;Jahr;Month nr;Monat;Date Text;Ausfuhr: Gewicht;Ausfuhr: Wert €;Ausfuhr: Wert $;Einfuhr: Gewicht;Einfuhr: Wert €;Einfuhr: Wert $;Ausfuhr: Wert €/Gewicht;Einfuhr: Wert €/Gewicht;Ausfuhr: Wert $/Gewicht;Einfuhr: Wert $/Gewicht
0;2008;1;Januar;Januar 2008;48,2;213;313;298,5;1137;1671;4419,09;3809,05;6493,78;5597,99
1;2008;2;Februar;Februar 2008;16,8;84;124;454,8;1792;2643;5000,00;3940,19;7380,95;5811,35
2;2008;3;März;März 2008;511,1;1280;1980;4455,9;17082;26521;2504,40;3833,57;3874,00;5951,88
3;2008;4;April;April 2008;677,1;1816;2863;9616,8;30473;48003;2682,03;3168,73;4228,33;4991,58
4;2008;5;Mai;Mai 2008;1126,1;3582;5572;7988,5;20541;31959;3180,89;2571,32;4948,05;4000,63
5;2008;6;Juni;Juni 2008;501,5;1519;2365;3241,9;7445;11577;3028,91;2296,49;4715,85;3571,05
6;2008;7;Juli;Juli 2008;294,1;915;1445;2086,5;5680;8961;3111,19;2722,26;4913,29;4294,75
7;2008;8;August;August 2008;120,5;366;545;714,7;1936;2900;3037,34;2708,83;4522,82;4057,65
8;2008;9;September;September 2008;42,4;134;191;407,5;1073;1542;3160,38;2633,13;4504,72;3784,05
9;2008;10;Oktober;Oktober 2008;56,6;178;239;253,7;795;1058;3144,88;3133,62;4222,61;4170,28
10;2008;11;November;November 2008;57,3;184;234;310,8;853;1086;3211,17;2744,53;4083,77;3494,21
11;2008;12;Dezember;Dezember 2008;104,2;403;539;413;1324;1780;3867,56;3205,81;5172,74;4309,93
12;2009;1;Januar;Januar 2009;20,2;108;145;374,7;1371;1816;5346,53;3658,93;7178,22;4846,54
13;2009;2;Februar;Februar 2009;35;154;197;286,5;1028;1318;4400,00;3588,13;5628,57;4600,35
14;2009;3;März;März 2009;94,5;328;430;1690,7;6266;8180;3470,90;3706,16;4550,26;4838,23
15;2009;4;April;April 2009;975,6;2807;3707;8970,5;27991;36920;2877,20;3120,34;3799,71;4115,71
16;2009;5;Mai;Mai 2009;1136,1;3375;4610;8189,1;18337;25031;2970,69;2239,20;4057,74;3056,62
17;2009;6;Juni;Juni 2009;268;975;1368;2888,5;7462;10460;3638,06;2583,35;5104,48;3621,26
18;2009;7;Juli;Juli 2009;89,4;300;425;900,3;2627;3701;3355,70;2917,92;4753,91;4110,85
19;2009;8;August;August 2009;22,8;116;166;219,6;628;896;5087,72;2859,74;7280,70;4080,15
20;2009;9;September;September 2009;20,2;101;150;256,4;729;1062;5000,00;2843,21;7425,74;4141,97
21;2009;10;Oktober;Oktober 2009;29,2;104;154;367,9;1014;1504;3561,64;2756,18;5273,97;4088,07
22;2009;11;November;November 2009;30,6;107;158;347,4;931;1386;3496,73;2679,91;5163,40;3989,64
23;2009;12;Dezember;Dezember 2009;57;211;309;774,6;2126;3108;3701,75;2744,64;5421,05;4012,39
24;2010;1;Januar;Januar 2010;20,9;74;110;431,6;1162;1658;3540,67;2692,31;5263,16;3841,52
25;2010;2;Februar;Februar 2010;23,7;99;138;307,8;845;1158;4177,22;2745,29;5822,78;3762,18
26;2010;3;März;März 2010;271,9;1136;1543;1818,4;6867;9315;4178,01;3776,40;5674,88;5122,64
27;2010;4;April;April 2010;1445,3;4359;5846;8780,3;28327;37970;3015,98;3226,20;4044,83;4324,45
28;2010;5;Mai;Mai 2010;1576,5;5354;6729;9918,8;25811;32430;3396,13;2602,23;4268,32;3269,55
29;2010;6;Juni;Juni 2010;546,3;1812;2212;3143,5;7654;9343;3316,86;2434,87;4049,06;2972,16
30;2010;7;Juli;Juli 2010;69,1;278;357;574,2;1765;2256;4023,15;3073,84;5166,43;3928,94
