Order;Jahr;Month nr;Monat;Date Text;Ausfuhr: Gewicht;Ausfuhr: Wert €;Ausfuhr: Wert $;Einfuhr: Gewicht;Einfuhr: Wert €;Einfuhr: Wert $;Ausfuhr: Wert €/Gewicht;Einfuhr: Wert €/Gewicht;Ausfuhr: Wert $/Gewicht;Einfuhr: Wert $/Gewicht
0;2008;1;Januar;Januar 2008;1746,8;1816;2676;13896,9;15511;22829;1039,62;1116,15;1531,94;1642,74
1;2008;2;Februar;Februar 2008;2018,9;1982;2922;12973,9;14705;21690;981,72;1133,43;1447,32;1671,82
2;2008;3;März;März 2008;1432;1851;2872;12105,8;14548;22591;1292,60;1201,74;2005,59;1866,13
3;2008;4;April;April 2008;724,8;846;1331;11000,3;14254;22448;1167,22;1295,78;1836,37;2040,67
4;2008;5;Mai;Mai 2008;1405,6;1986;3090;13298,2;16695;25972;1412,92;1255,43;2198,35;1953,05
5;2008;6;Juni;Juni 2008;909,9;1179;1839;13348,4;16567;25765;1295,75;1241,12;2021,10;1930,19
6;2008;7;Juli;Juli 2008;1745,4;1682;2652;14150,9;16813;26512;963,68;1188,12;1519,42;1873,52
7;2008;8;August;August 2008;1441,1;1363;2041;9620,8;11290;16905;945,81;1173,50;1416,28;1757,13
8;2008;9;September;September 2008;1478,2;1326;1906;10690,8;10793;15510;897,04;1009,56;1289,41;1450,78
9;2008;10;Oktober;Oktober 2008;2357,9;2983;3971;9692,5;9697;12918;1265,11;1000,46;1684,13;1332,78
10;2008;11;November;November 2008;891,5;943;1202;10176,5;11091;14120;1057,77;1089,86;1348,29;1387,51
11;2008;12;Dezember;Dezember 2008;1383;1232;1659;12029,1;11891;15989;890,82;988,52;1199,57;1329,19
12;2009;1;Januar;Januar 2009;1902,9;1483;1963;17125,3;15067;19946;779,34;879,81;1031,58;1164,71
13;2009;2;Februar;Februar 2009;1310;1044;1332;11240;9511;12160;796,95;846,17;1016,79;1081,85
14;2009;3;März;März 2009;1454,1;1069;1396;11393,7;8851;11548;735,16;776,83;960,04;1013,54
15;2009;4;April;April 2009;1257,8;936;1231;14086,1;10685;14091;744,16;758,55;978,69;1000,35
16;2009;5;Mai;Mai 2009;1204,3;918;1254;11917,1;8701;11876;762,27;730,13;1041,27;996,55
17;2009;6;Juni;Juni 2009;1526;1326;1857;12291,5;9175;12864;868,94;746,45;1216,91;1046,58
18;2009;7;Juli;Juli 2009;1534,3;1327;1865;13082,2;9794;13806;864,89;748,65;1215,54;1055,33
19;2009;8;August;August 2009;1536,4;1487;2121;13054,7;12053;17205;967,85;923,27;1380,50;1317,92
20;2009;9;September;September 2009;2203,3;2613;3800;9784,1;10802;15730;1185,95;1104,04;1724,69;1607,71
21;2009;10;Oktober;Oktober 2009;1842,1;1951;2891;8599,3;8989;13317;1059,12;1045,32;1569,40;1548,61
22;2009;11;November;November 2009;1201,9;1116;1664;11226,6;11466;17101;928,53;1021,32;1384,47;1523,26
23;2009;12;Dezember;Dezember 2009;2013,5;1773;2591;14489;14144;20669;880,56;976,19;1286,81;1426,53
24;2010;1;Januar;Januar 2010;2243,5;1983;2835;12187,1;11653;16630;883,89;956,17;1263,65;1364,56
25;2010;2;Februar;Februar 2010;1688,4;1559;2135;10621,1;9558;13078;923,36;899,91;1264,51;1231,32
26;2010;3;März;März 2010;1825,5;1575;2138;11845,1;10827;14690;862,78;914,05;1171,19;1240,18
27;2010;4;April;April 2010;1819,8;1691;2269;10890,8;9630;12911;929,22;884,23;1246,84;1185,50
28;2010;5;Mai;Mai 2010;1531,9;1580;1988;13597,6;13269;16671;1031,40;975,83;1297,73;1226,03
29;2010;6;Juni;Juni 2010;1400,8;1620;1979;15539,5;16942;20687;1156,48;1090,25;1412,76;1331,25
30;2010;7;Juli;Juli 2010;2402,1;2871;3668;14121,7;15725;20079;1195,20;1113,53;1527,00;1421,85
31;2010;8;August;August 2010;1765,4;2300;2968;11601,7;13597;17532;1302,82;1171,98;1681,21;1511,16
32;2010;9;September;September 2010;2108;2765;3612;10571,3;13172;17211;1311,67;1246,02;1713,47;1628,09
33;2010;10;Oktober;Oktober 2010;1819,4;1975;2749;10166,8;12226;16994;1085,52;1202,54;1510,94;1671,52
34;2010;11;November;November 2010;1735,4;1555;2127;10550,4;10927;14932;896,05;1035,70;1225,65;1415,30
35;2010;12;Dezember;Dezember 2010;1276,7;1230;1627;11455,1;10135;13396;963,42;884,76;1274,38;1169,44
36;2011;1;Januar;Januar 2011;3377,1;2621;3501;16750;13710;18320;776,11;818,51;1036,69;1093,73
37;2011;2;Februar;Februar 2011;1706,1;1599;2184;11898,6;10080;13763;937,23;847,16;1280,11;1156,69
38;2011;3;März;März 2011;2182,2;1816;2542;12791,2;10045;14058;832,19;785,31;1164,88;1099,04
39;2011;4;April;April 2011;1223,4;1166;1682;11986;9602;13868;953,08;801,10;1374,86;1157,02
40;2011;5;Mai;Mai 2011;1992,1;1574;2262;13030,2;10578;15180;790,12;811,81;1135,49;1164,99
41;2011;6;Juni;Juni 2011;1783;1746;2512;13904,1;12104;17418;979,25;870,53;1408,86;1252,72
42;2011;7;Juli;Juli 2011;1749,4;2022;2888;11533,6;11291;16104;1155,82;978,97;1650,85;1396,27
43;2011;8;August;August 2011;2308;2852;4096;12130,2;12147;17428;1235,70;1001,38;1774,70;1436,74
44;2011;9;September;September 2011;2022,2;2316;3188;10763,7;11461;15786;1145,29;1064,78;1576,50;1466,60
45;2011;10;Oktober;Oktober 2011;1623;1534;2102;10894,1;10695;14657;945,16;981,72;1295,13;1345,41
46;2011;11;November;November 2011;2067;1637;2219;10887,5;9813;13297;791,97;901,31;1073,54;1221,31
47;2011;12;Dezember;Dezember 2011;2397,3;1963;2587;13473;12819;16894;818,84;951,46;1079,13;1253,92
